Unnamed: 0,NOR,DET
First Downs,29,18
Rush-Yds-TDs,42-164-3,22-90-1
Cmp-Att-Yd-TD-INT,19-25-246-2-1,17-31-206-3-1
Sacked-Yards,2-18,3-15
Net Pass Yards,228,191
Total Yards,392,281
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,4-67,5-49
Third Down Conv.,10-14,7-14
Fourth Down Conv.,1-1,3-3
Time of Possession,36:46,23:14
