Quarter,Time,Tm,Detail,DEN,STL
1.0,3:44,Rams,Jeff Wilkins 26 yard field goal,0,3
2.0,13:21,Rams,Jeff Wilkins 38 yard field goal,0,6
,10:24,Rams,Jeff Wilkins 29 yard field goal,0,9
,5:48,Rams,Jeff Wilkins 51 yard field goal,0,12
,0:26,Broncos,Mike Bell 1 yard rush (Jason Elam kick),7,12
3.0,11:27,Rams,Jeff Wilkins 48 yard field goal,7,15
4.0,14:18,Broncos,Jason Elam 49 yard field goal,10,15
,6:24,Rams,Jeff Wilkins 24 yard field goal,10,18
