Unnamed: 0,SFO,SEA
First Downs,14,18
Rush-Yds-TDs,32-140-1,32-152-1
Cmp-Att-Yd-TD-INT,11-19-141-0-0,12-24-168-1-1
Sacked-Yards,6-36,5-30
Net Pass Yards,105,138
Total Yards,245,290
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,8-78,7-50
Third Down Conv.,6-15,8-14
Fourth Down Conv.,2-4,0-0
Time of Possession,31:02,28:58
