Quarter,Time,Down,ToGo,Location,CLE,NWE,Detail,EPB,EPA
2,11:51,1,10,NWE 1,7,14,Rhamondre Stevenson up the middle for 5 yards (tackle by Anthony Walker),,
2,11:08,2,5,NWE 6,7,14,Rhamondre Stevenson right guard for 4 yards (tackle by Anthony Walker),,
2,10:33,3,1,NWE 10,7,14,Rhamondre Stevenson left end for 18 yards (tackle by Ronnie Harrison and John Johnson),,
2,9:55,1,10,NWE 28,7,14,J.J. Taylor up the middle for 2 yards (tackle by Mack Wilson),,
2,9:15,2,8,NWE 30,7,14,J.J. Taylor up the middle for 3 yards (tackle by Mack Wilson),,
2,8:34,3,5,NWE 33,7,14,Mac Jones pass complete short right to Kendrick Bourne for 12 yards (tackle by Troy Hill),,
2,7:51,1,10,NWE 45,7,14,Mac Jones pass incomplete deep right intended for Nelson Agholor,,
2,7:45,2,10,NWE 45,7,14,J.J. Taylor up the middle for 1 yard (tackle by Anthony Walker),,
2,7:06,3,9,NWE 46,7,14,Mac Jones pass complete deep left to Jakobi Meyers for 26 yards (tackle by Greg Newsome),,
2,6:20,1,10,CLE 28,7,14,Brandon Bolden left guard for 5 yards (tackle by Ifeadi Odenigbo and John Johnson),,
2,5:46,2,5,CLE 23,7,20,"Mac Jones pass complete deep middle to Kendrick Bourne for 23 yards, touchdown",,
2,5:40,,,CLE 15,7,21,Nick Folk kicks extra point good,,
2,5:40,,,NWE 35,7,21,"Nick Folk kicks off 54 yards, returned by Anthony Schwartz for 22 yards (tackle by Justin Bethel and Adrian Phillips)",,
2,5:35,1,10,CLE 33,7,21,Baker Mayfield pass incomplete short right,,
2,5:27,2,10,CLE 33,7,21,D'Ernest Johnson up the middle for 2 yards (tackle by Deatrich Wise and Christian Barmore),,
2,4:42,3,8,CLE 35,7,21,"Baker Mayfield pass complete short right to D'Ernest Johnson for -7 yards. D'Ernest Johnson fumbles (forced by Kyle Van Noy), recovered by D'Ernest Johnson at CLE-28 (tackle by Kyle Van Noy)",,
2,3:56,4,15,CLE 28,7,21,"Jamie Gillan punts 39 yards, fair catch by Jakobi Meyers at NE-33",,
2,3:48,1,10,NWE 33,7,21,Rhamondre Stevenson up the middle for 1 yard (tackle by Jordan Elliott),,
2,3:09,2,9,NWE 34,7,21,Mac Jones pass complete short left to Rhamondre Stevenson for 4 yards (tackle by Jeremiah Owusu-Koramoah),,
2,2:30,3,5,NWE 38,7,21,"Mac Jones pass incomplete intended for Kendrick Bourne. Penalty on Greg Newsome: Defensive Pass Interference, 7 yards (accepted) (no play)",,
2,2:26,1,10,NWE 45,7,21,Rhamondre Stevenson up the middle for -1 yards (tackle by Ronnie Harrison),,
2,2:00,2,11,NWE 44,7,21,Rhamondre Stevenson up the middle for 16 yards (tackle by Troy Hill),,
2,1:22,1,10,CLE 40,7,21,Kendrick Bourne left end for 11 yards (tackle by Ronnie Harrison and Troy Hill),,
2,1:14,1,10,CLE 29,7,21,Mac Jones pass complete short right to Rhamondre Stevenson for 8 yards (tackle by Anthony Walker),,
2,0:47,2,2,CLE 21,7,21,Mac Jones pass complete short left to Jakobi Meyers for 5 yards (tackle by Troy Hill),,
2,0:42,1,10,CLE 16,7,21,"Mac Jones pass complete to Hunter Henry for no gain. Penalty on Isaiah Wynn: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",,
2,0:37,1,20,CLE 26,7,21,Mac Jones pass complete short right to Brandon Bolden for 1 yard (tackle by Anthony Walker),,
2,0:29,,,,,,Timeout #1 by New England Patriots,,
2,0:29,2,19,CLE 25,7,21,Rhamondre Stevenson up the middle for 5 yards (tackle by Mack Wilson and Anthony Walker),,
2,0:21,,,,,,Timeout #2 by New England Patriots,,
2,0:21,3,14,CLE 20,7,21,Mac Jones pass incomplete short left intended for Nelson Agholor (defended by Myles Garrett),,
2,0:20,4,14,CLE 20,7,24,Nick Folk 38 yard field goal good,,
2,0:17,,,NWE 35,7,24,"Jake Bailey kicks off 60 yards, returned by Anthony Schwartz for 18 yards (tackle by Kyle Dugger)",,
2,0:11,1,10,CLE 23,7,24,Baker Mayfield sacked by Deatrich Wise for -9 yards. Baker Mayfield fumbles (forced by Deatrich Wise),,
Quarter,Time,Down,ToGo,Location,CLE,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,7,24,"Chase McLaughlin kicks off 63 yards, returned by J.J. Taylor for 25 yards (tackle by Ifeadi Odenigbo)",,
3,14:55,1,10,NWE 27,7,24,Rhamondre Stevenson up the middle for 1 yard (tackle by Anthony Walker),,
3,14:22,2,9,NWE 28,7,24,Mac Jones pass incomplete short right,,
3,14:17,3,9,NWE 28,7,24,Mac Jones sacked by Malik McDowell for -8 yards,,
3,13:46,4,17,NWE 20,7,24,Jake Bailey punts 66 yards downed by Justin Bethel,,
3,13:33,1,10,CLE 14,7,24,D'Ernest Johnson right tackle for 5 yards (tackle by Deatrich Wise and Lawrence Guy),,
3,13:02,2,5,CLE 19,7,24,Baker Mayfield pass complete short right to D'Ernest Johnson for 9 yards (tackle by Ja'Whaun Bentley),,
3,12:26,1,10,CLE 28,7,24,Baker Mayfield pass complete short left to Austin Hooper for 6 yards (tackle by Dont'a Hightower and Myles Bryant),,
3,11:46,2,4,CLE 34,7,24,D'Ernest Johnson up the middle for 2 yards (tackle by Lawrence Guy and Davon Godchaux),,
3,11:08,3,2,CLE 36,7,24,D'Ernest Johnson up the middle for -3 yards (tackle by Ja'Whaun Bentley),,
3,10:26,4,5,CLE 33,7,24,Jamie Gillan punts 59 yards,,
3,10:10,1,10,NWE 8,7,24,Mac Jones pass complete short right to Nelson Agholor for 10 yards (tackle by Denzel Ward),,
3,9:31,1,10,NWE 18,7,24,Rhamondre Stevenson right guard for 5 yards (tackle by Jeremiah Owusu-Koramoah),,
3,8:51,2,5,NWE 23,7,24,Mac Jones pass complete deep left to Hunter Henry for 19 yards (tackle by Mack Wilson),,
3,8:10,1,10,NWE 42,7,24,Brandon Bolden up the middle for 22 yards (tackle by Denzel Ward),,
3,7:25,1,10,CLE 36,7,24,Mac Jones pass complete short left to Brandon Bolden for 17 yards (tackle by Mack Wilson),,
3,6:40,1,10,CLE 19,7,24,Mac Jones pass complete short left to Rhamondre Stevenson for no gain (tackle by Anthony Walker),,
3,5:56,2,10,CLE 19,7,24,Kendrick Bourne right end for 17 yards (tackle by Sione Takitaki),,
3,5:10,1,2,CLE 2,7,30,"Rhamondre Stevenson right guard for 2 yards, touchdown",,
3,5:04,,,CLE 15,7,31,Nick Folk kicks extra point good,,
3,5:04,,,NWE 35,7,31,"Jake Bailey kicks off 66 yards, returned by Jojo Natson for 28 yards (tackle by Adrian Phillips)",,
3,4:57,1,10,CLE 27,7,31,Baker Mayfield pass complete short middle to D'Ernest Johnson for 9 yards (tackle by Ja'Whaun Bentley),,
3,4:30,2,1,CLE 36,7,31,D'Ernest Johnson right guard for 4 yards (tackle by Dont'a Hightower and Myles Bryant),,
3,4:04,1,10,CLE 40,7,31,Baker Mayfield pass complete short right to D'Ernest Johnson for 2 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),,
3,3:35,2,8,CLE 42,7,31,Baker Mayfield sacked by and Lawrence Guy for -8 yards and Deatrich Wise for -8 yards,,
3,3:01,3,16,CLE 34,7,31,Baker Mayfield pass complete short right to David Njoku for 11 yards (tackle by Myles Bryant),,
3,3:01,1,10,NWE 40,7,31,"Penalty on Deatrich Wise: Roughing the Passer, 15 yards (accepted) (no play)",,
3,2:31,1,10,NWE 40,7,31,Baker Mayfield pass incomplete deep middle intended for David Njoku,,
3,2:26,2,10,NWE 40,7,31,Baker Mayfield pass incomplete short right intended for D'Ernest Johnson,,
3,2:22,3,10,NWE 40,7,31,Case Keenum sacked by and Matt Judon for -9 yards and Dont'a Hightower for -9 yards,,
3,1:38,4,19,NWE 49,7,31,"Case Keenum sacked by Kyle Van Noy for -4 yards. Penalty on Blake Hance: Offensive Holding, 10 yards (declined)",,
3,1:32,1,10,CLE 47,7,31,"Mac Jones pass incomplete short right intended for Nelson Agholor. Penalty on Greg Newsome: Defensive Pass Interference, 10 yards (accepted) (no play)",,
3,1:27,1,10,CLE 37,7,31,Mac Jones pass complete short left to Kendrick Bourne for 15 yards (tackle by Ronnie Harrison),,
3,0:46,1,10,CLE 22,7,31,Rhamondre Stevenson left guard for 5 yards (tackle by Elijah Lee and Ronnie Harrison),,
3,0:08,2,5,CLE 17,7,31,"Penalty on Malik McDowell: Encroachment, 5 yards (accepted) (no play)",,
Quarter,Time,Down,ToGo,Location,CLE,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CLE 12,7,31,Rhamondre Stevenson up the middle for 10 yards (tackle by Jeremiah Owusu-Koramoah),,
4,14:24,1,2,CLE 2,7,31,Rhamondre Stevenson right tackle for -1 yards (tackle by Sione Takitaki),,
4,13:40,2,3,CLE 3,7,31,Mac Jones pass incomplete short left intended for Rhamondre Stevenson,,
4,13:37,3,3,CLE 3,7,37,"Mac Jones pass complete short middle to Hunter Henry for 3 yards, touchdown",,
4,13:33,,,CLE 15,7,38,Nick Folk kicks extra point good,,
4,13:33,,,NWE 35,7,38,"Jake Bailey kicks off 64 yards, returned by Jojo Natson for 18 yards (tackle by Brandon King)",,
4,13:28,1,10,CLE 19,7,38,D'Ernest Johnson left tackle for 5 yards (tackle by Christian Barmore),,
4,13:06,2,5,CLE 24,7,38,Case Keenum pass complete short right to Jarvis Landry for 5 yards (tackle by Kyle Van Noy),,
4,12:38,1,10,CLE 29,7,38,Case Keenum pass complete short left to D'Ernest Johnson for 18 yards (tackle by Joejuan Williams),,
4,12:06,1,10,CLE 47,7,38,Case Keenum pass incomplete short right intended for Austin Hooper,,
4,11:59,2,10,CLE 47,7,38,D'Ernest Johnson right guard for 3 yards (tackle by Kyle Van Noy),,
4,11:33,,,,,,Timeout #1 by New England Patriots,,
4,11:33,3,7,CLE 50,7,38,Case Keenum pass incomplete deep right intended for Rashard Higgins (defended by J.C. Jackson),,
4,11:27,4,7,CLE 50,7,38,Case Keenum pass complete short left to Donovan Peoples-Jones for 16 yards (tackle by Jalen Mills),,
4,11:01,,,,,,Timeout #2 by New England Patriots,,
4,11:01,1,10,NWE 34,7,38,D'Ernest Johnson left end for 9 yards (tackle by Devin McCourty),,
4,10:38,2,1,NWE 25,7,38,Case Keenum pass complete short right to Jarvis Landry for 3 yards (tackle by Kyle Dugger),,
4,10:06,1,10,NWE 22,7,38,Case Keenum pass complete short middle to D'Ernest Johnson for 9 yards (tackle by Ja'Whaun Bentley),,
4,9:35,2,1,NWE 13,7,38,Case Keenum pass complete short right to Harrison Bryant for 5 yards (tackle by Adrian Phillips),,
4,9:06,1,8,NWE 8,7,38,D'Ernest Johnson left tackle for 1 yard (tackle by Kyle Dugger and Davon Godchaux),,
4,8:32,2,7,NWE 7,7,38,Case Keenum pass incomplete short right,,
4,8:24,3,7,NWE 7,7,38,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",,
4,8:24,3,12,NWE 12,7,38,Case Keenum pass incomplete intended for Jarvis Landry,,
4,8:21,4,12,NWE 12,7,38,Case Keenum pass complete short right to Jarvis Landry for 7 yards (tackle by Kyle Dugger),,
4,8:15,1,10,NWE 5,7,38,J.J. Taylor left guard for 2 yards (tackle by Greg Newsome and Jeremiah Owusu-Koramoah),,
4,7:39,2,8,NWE 7,7,38,Brian Hoyer pass complete deep right to N'Keal Harry for 26 yards,,
4,6:59,1,10,NWE 33,7,38,J.J. Taylor up the middle for 3 yards (tackle by Joe Jackson and Grant Delpit),,
4,6:17,2,7,NWE 36,7,38,Brian Hoyer pass complete short middle to Kendrick Bourne for 48 yards (tackle by Grant Delpit),,
4,5:28,1,10,CLE 16,7,38,"Penalty on CLE: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",,
4,5:06,1,5,CLE 11,7,38,J.J. Taylor left guard for no gain (tackle by Jordan Elliott and Sione Takitaki),,
4,4:20,2,5,CLE 11,7,44,"Brian Hoyer pass complete short middle to Jakobi Meyers for 11 yards, touchdown",,
4,4:13,,,CLE 15,7,45,Nick Folk kicks extra point good,,
4,4:13,,,NWE 35,7,45,"Jake Bailey kicks off 64 yards, returned by Jojo Natson for 25 yards (tackle by Matthew Slater)",,
4,4:05,1,10,CLE 26,7,45,D'Ernest Johnson right guard for 3 yards (tackle by Jahlani Tavai and Calvin Munson),,
4,3:25,2,7,CLE 29,7,45,D'Ernest Johnson right end for 3 yards (tackle by Josh Uche and Calvin Munson),,
4,2:42,3,4,CLE 32,7,45,Case Keenum pass complete short right to D'Ernest Johnson for 18 yards (tackle by Myles Bryant),,
4,2:35,1,10,CLE 50,7,45,D'Ernest Johnson right guard for 5 yards (tackle by Jahlani Tavai and Josh Uche),,
4,2:01,2,5,NWE 45,7,45,D'Ernest Johnson right end for -2 yards (tackle by Calvin Munson and Tashawn Bower),,
4,1:56,3,7,NWE 47,7,45,Case Keenum sacked by Tashawn Bower for -6 yards,,
4,1:11,4,13,CLE 47,7,45,Jamie Gillan punts 33 yards out of bounds,,
4,1:02,1,10,NWE 20,7,45,Brian Hoyer kneels for -1 yards,,
4,0:40,2,11,NWE 19,7,45,Brian Hoyer kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
