Unnamed: 0,CLE,NWE
First Downs,17,30
Rush-Yds-TDs,20-99-0,34-184-2
Cmp-Att-Yd-TD-INT,19-33-154-1-1,22-26-283-4-0
Sacked-Yards,5-36,2-15
Net Pass Yards,118,268
Total Yards,217,452
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,6-42,6-46
Third Down Conv.,1-11,7-9
Fourth Down Conv.,2-4,0-0
Time of Possession,25:58,34:02
