Quarter,Time,Tm,Detail,CLE,NWE
1.0,10:05,Browns,Austin Hooper 2 yard pass from Baker Mayfield (Chase McLaughlin kick),7,0
,0:26,Patriots,Hunter Henry 3 yard pass from Mac Jones (Nick Folk kick),7,7
2.0,14:43,Patriots,Rhamondre Stevenson 5 yard rush (Nick Folk kick),7,14
,5:40,Patriots,Kendrick Bourne 23 yard pass from Mac Jones (Nick Folk kick),7,21
,0:17,Patriots,Nick Folk 38 yard field goal,7,24
3.0,5:04,Patriots,Rhamondre Stevenson 2 yard rush (Nick Folk kick),7,31
4.0,13:33,Patriots,Hunter Henry 3 yard pass from Mac Jones (Nick Folk kick),7,38
,4:13,Patriots,Jakobi Meyers 11 yard pass from Brian Hoyer (Nick Folk kick),7,45
