Player,Pos
Baker Mayfield,QB
D'Ernest Johnson,RB
Jarvis Landry,WR
Donovan Peoples-Jones,WR
Austin Hooper,TE
David Njoku,TE
Blake Hance,T
Jedrick Wills Jr.,T
Wyatt Teller,G
Joel Bitonio,G
J.C. Tretter,C
Jadeveon Clowney,DE
Myles Garrett,DE
Malik McDowell,DT
Malik Jackson,DT
Sione Takitaki,LB
Anthony Walker,LB
Mack Wilson,LB
Greg Newsome II,CB
Denzel Ward,CB
John Johnson,S
Ronnie Harrison,S
