Quarter,Time,Tm,Detail,NYJ,IND
2.0,5:25,Colts,Pierre Garcon 57 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
3.0,9:48,Jets,LaDainian Tomlinson 1 yard rush (Nick Folk kick),7,7
,4:53,Colts,Adam Vinatieri 47 yard field goal,7,10
4.0,9:59,Jets,LaDainian Tomlinson 1 yard rush (Nick Folk kick),14,10
,4:37,Colts,Adam Vinatieri 32 yard field goal,14,13
,0:53,Colts,Adam Vinatieri 50 yard field goal,14,16
,0:00,Jets,Nick Folk 32 yard field goal,17,16
