Unnamed: 0,NYJ,IND
First Downs,23,16
Rush-Yds-TDs,38-169-2,27-93-0
Cmp-Att-Yd-TD-INT,18-31-189-0-1,18-26-225-1-0
Sacked-Yards,1-5,1-6
Net Pass Yards,184,219
Total Yards,353,312
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,3-15,2-10
Third Down Conv.,8-15,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,33:07,26:53
