Quarter,Time,Down,ToGo,Location,NYJ,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Nick Folk kicks off 75 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,Peyton Manning pass complete short right to Pierre Garcon for 9 yards (tackle by Brodney Pool),0.280,0.950
1,14:26,2,1,IND 29,0,0,Peyton Manning pass incomplete short right intended for Jacob Tamme (defended by Bart Scott),0.950,0.230
1,14:20,3,1,IND 29,0,0,Joseph Addai right end for -2 yards (tackle by Brodney Pool),0.230,-1.570
1,13:44,4,3,IND 27,0,0,Pat McAfee punts 46 yards,-1.570,-0.740
,,,,,,,"IND challenged the kick touched ruling, and the play was upheld.",,
1,13:29,1,10,NYJ 27,0,0,Mark Sanchez pass incomplete short middle intended for Dustin Keller (defended by Gary Brackett),0.740,0.200
1,13:25,2,10,NYJ 27,0,0,LaDainian Tomlinson right tackle for 23 yards (tackle by Justin Tryon),0.200,2.260
1,12:57,1,10,,0,0,LaDainian Tomlinson right tackle for 1 yard (tackle by Pat Angerer),2.260,1.850
1,12:19,2,9,IND 49,0,0,Mark Sanchez pass complete short left to LaDainian Tomlinson for -5 yards (tackle by Kavell Conner),1.850,0.500
1,11:33,3,14,NYJ 46,0,0,Mark Sanchez pass complete short left to Jerricho Cotchery for 7 yards (tackle by Keyunta Dawson and Cornelius Brown),0.500,0.130
1,11:02,4,7,IND 47,0,0,"Steve Weatherford punts 47 yards, touchback",0.130,-0.280
1,10:56,1,10,IND 20,0,0,Joseph Addai left guard for 4 yards (tackle by David Harris and Mike DeVito),0.280,0.270
1,10:17,2,6,IND 24,0,0,Peyton Manning pass complete short left to Blair White for 5 yards (tackle by Eric Smith),0.270,0.230
1,9:38,3,1,IND 29,0,0,Peyton Manning pass complete short right to Blair White for no gain,0.230,-1.440
1,9:13,4,1,IND 29,0,0,"Pat McAfee punts 33 yards, fair catch by Jerricho Cotchery",-1.440,-1.470
1,9:04,1,10,NYJ 38,0,0,Mark Sanchez sacked by Daniel Muir for -5 yards,1.470,0.250
1,8:32,2,15,NYJ 33,0,0,Shonn Greene middle for 6 yards (tackle by Gary Brackett),0.250,0.370
1,7:51,3,9,NYJ 39,0,0,Mark Sanchez pass complete short right to Jerricho Cotchery for 10 yards (tackle by Gary Brackett and Cornelius Brown),0.370,2.190
1,7:10,1,10,NYJ 49,0,0,Mark Sanchez pass incomplete short right intended for Jerricho Cotchery,2.190,1.650
1,7:04,2,10,NYJ 49,0,0,Shonn Greene middle for 2 yards (tackle by Daniel Muir and Ricardo Mathews),1.650,1.220
1,6:21,3,8,IND 49,0,0,Mark Sanchez pass incomplete short right intended for Santonio Holmes,1.220,0.000
1,6:17,4,8,IND 49,0,0,"Steve Weatherford punts 49 yards, touchback",0.000,-0.280
1,6:07,1,10,IND 20,0,0,Dominic Rhodes right end for 1 yard (tackle by Bart Scott and Mike DeVito),0.280,-0.130
1,5:50,2,9,IND 21,0,0,"Dominic Rhodes middle for 3 yards (tackle by Trevor Pryce). Penalty on Mike DeVito: Defensive 12 On-field, 5 yards (no play)",-0.130,0.540
1,5:21,2,4,IND 26,0,0,Dominic Rhodes middle for 3 yards (tackle by Calvin Pace and Trevor Pryce),0.540,0.230
1,4:39,3,1,IND 29,0,0,Peyton Manning pass incomplete short right intended for Blair White,0.230,-1.440
1,4:35,4,1,IND 29,0,0,"Pat McAfee punts 44 yards, returned by Jerricho Cotchery for 15 yards (tackle by Tyjuan Hagler)",-1.440,-1.730
1,4:23,1,10,NYJ 42,0,0,Shonn Greene right tackle for 4 yards (tackle by Robert Mathis),1.730,1.730
1,3:45,2,6,NYJ 46,0,0,Shonn Greene middle for 4 yards (tackle by Aaron Francisco and Justin Tryon),1.730,1.550
1,3:00,3,2,,0,0,Mark Sanchez pass incomplete deep right intended for Santonio Holmes,1.550,-0.060
1,2:53,4,2,,0,0,"Steve Weatherford punts 37 yards, fair catch by Blair White",-0.060,0.320
1,2:45,1,10,IND 13,0,0,Peyton Manning pass complete short left to Dominic Rhodes for 12 yards (tackle by David Harris),-0.320,0.610
1,2:15,1,10,IND 25,0,0,Dominic Rhodes left tackle for -2 yards (tackle by Bryan Thomas),0.610,-0.210
1,1:40,2,12,IND 23,0,0,Peyton Manning pass complete short right to Pierre Garcon for 11 yards (tackle by Brodney Pool and Eric Smith),-0.210,0.560
1,1:02,3,1,IND 34,0,0,Dominic Rhodes middle for 3 yards (tackle by David Harris),0.560,1.400
1,0:21,1,10,IND 37,0,0,Dominic Rhodes left end for no gain (tackle by David Harris),1.400,0.860
Quarter,Time,Down,ToGo,Location,NYJ,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,IND 37,0,0,Dominic Rhodes middle for 4 yards (tackle by Mike DeVito and Brodney Pool),0.860,0.700
2,14:17,3,6,IND 41,0,0,Peyton Manning pass complete short right to Jacob Tamme for 6 yards (tackle by Dwight Lowery),0.700,2.060
2,13:34,1,10,IND 47,0,0,Peyton Manning pass complete short middle to Jacob Tamme for 10 yards (tackle by David Harris),2.060,2.720
2,12:57,1,10,NYJ 43,0,0,Peyton Manning pass incomplete deep right intended for Pierre Garcon,2.720,2.180
2,12:50,2,10,NYJ 43,0,0,Joseph Addai right tackle for 2 yards (tackle by David Harris and Trevor Pryce),2.180,1.750
