Unnamed: 0,SDG,OAK
First Downs,22,19
Rush-Yds-TDs,41-190-1,13-39-2
Cmp-Att-Yd-TD-INT,15-21-168-2-0,24-48-292-0-1
Sacked-Yards,2-12,4-21
Net Pass Yards,156,271
Total Yards,346,310
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,5-35,8-51
Third Down Conv.,2-11,3-13
Fourth Down Conv.,0-0,2-4
Time of Possession,35:18,24:42
