Quarter,Time,Tm,Detail,SDG,OAK
1.0,8:42,Chargers,LaDainian Tomlinson 35 yard pass from Drew Brees (Nate Kaeding kick),7,0
,4:02,Chargers,LaDainian Tomlinson 7 yard rush (Nate Kaeding kick),14,0
,0:57,Raiders,LaMont Jordan 4 yard rush (Sebastian Janikowski kick),14,7
2.0,10:25,Chargers,Nate Kaeding 32 yard field goal,17,7
,2:39,Chargers,Justin Peelle 4 yard pass from LaDainian Tomlinson (Nate Kaeding kick),24,7
3.0,6:02,Chargers,Nate Kaeding 33 yard field goal,27,7
,0:34,Raiders,LaMont Jordan 1 yard rush (Sebastian Janikowski kick),27,14
