Unnamed: 0,CIN,CLE
First Downs,25,16
Rush-Yds-TDs,30-86-0,17-45-1
Cmp-Att-Yd-TD-INT,25-30-286-4-0,21-42-183-0-1
Sacked-Yards,3-22,2-13
Net Pass Yards,264,170
Total Yards,350,215
Fumbles-Lost,3-1,1-0
Turnovers,1,1
Penalties-Yards,8-66,4-28
Third Down Conv.,6-11,5-16
Fourth Down Conv.,0-0,1-2
Time of Possession,35:02,24:58
