Quarter,Time,Tm,Detail,CIN,CLE
2.0,14:56,Bengals,A.J. Green 7 yard pass from Andy Dalton (Randy Bullock kick),7,0
,2:33,Bengals,Tyler Kroft 3 yard pass from Andy Dalton (Randy Bullock kick),14,0
,0:47,Bengals,Giovani Bernard 61 yard pass from Andy Dalton (Randy Bullock kick),21,0
3.0,11:28,Bengals,Randy Bullock 41 yard field goal,24,0
,3:37,Bengals,Tyler Kroft 16 yard pass from Andy Dalton (Randy Bullock kick),31,0
4.0,1:54,Browns,Duke Johnson 1 yard rush (Zane Gonzalez kick),31,7
