Unnamed: 0,CLE,WAS
First Downs,26,24
Rush-Yds-TDs,28-163-1,26-145-1
Cmp-Att-Yd-TD-INT,28-40-223-1-1,21-27-183-3-1
Sacked-Yards,1-6,3-27
Net Pass Yards,217,156
Total Yards,380,301
Fumbles-Lost,3-2,1-0
Turnovers,3,1
Penalties-Yards,7-101,9-75
Third Down Conv.,8-12,4-8
Fourth Down Conv.,0-1,0-0
Time of Possession,28:57,31:03
