Quarter,Time,Down,ToGo,Location,CLE,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,WAS 25,0,0,Kirk Cousins pass complete short right to Jamison Crowder for 6 yards (tackle by Jamar Taylor),0.610,0.870
1,14:27,2,4,WAS 31,0,0,Matt Jones left end for 5 yards (tackle by Jamar Taylor and Emmanuel Ogbah),0.870,1.330
1,13:46,1,10,WAS 36,0,0,Matt Jones right tackle for 4 yards (tackle by Christian Kirksey),1.330,1.330
1,13:07,2,6,WAS 40,0,0,Kirk Cousins pass complete short right to Jordan Reed for 10 yards (tackle by Christian Kirksey),1.330,2.260
1,12:34,1,10,,0,0,Matt Jones left end for 2 yards (tackle by Jamar Taylor and Jordan Poyer),2.260,1.980
1,11:53,2,8,CLE 48,0,0,Kirk Cousins pass complete short left to Chris Thompson for 11 yards (tackle by Christian Kirksey),1.980,3.120
1,11:11,1,10,CLE 37,0,0,Kirk Cousins pass complete short middle to Pierre Garcon for 9 yards (tackle by Jamar Taylor),3.120,3.790
1,10:46,2,1,CLE 28,0,0,Kirk Cousins pass complete short left to Pierre Garcon for 3 yards (tackle by Jamar Taylor),3.790,3.910
1,10:09,1,10,CLE 25,0,0,Kirk Cousins pass complete short right to DeSean Jackson for 5 yards (tackle by Jordan Poyer),3.910,4.040
1,9:30,2,5,CLE 20,0,0,"Matt Jones left end for 4 yards (tackle by Derrick Kindred and Joe Schobert). Penalty on Vernon Davis: Offensive Holding, 10 yards, Penalty on Arie Kouandjio: Offensive Holding (Declined) (no play)",4.040,2.690
1,9:03,2,15,CLE 30,0,0,Chris Thompson right end for 20 yards (tackle by Joe Haden and Emmanuel Ogbah),2.690,4.910
