Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYG 25,0,0,Eli Manning pass incomplete short left intended for Odell Beckham,0.610,0.060
1,14:57,2,10,NYG 25,0,0,Saquon Barkley right end for -1 yards (tackle by Malcolm Smith),0.060,-0.760
1,14:18,3,11,NYG 24,0,0,Eli Manning pass complete short left to Evan Engram for no gain (tackle by K'Waun Williams),-0.760,-1.770
1,13:45,4,11,NYG 24,0,0,"Riley Dixon punts 53 yards, returned by Richie James for 23 yards (tackle by Riley Dixon)",-1.770,-1.990
1,13:32,1,10,SFO 46,0,0,Matt Breida left end for 8 yards (tackle by Janoris Jenkins),1.990,2.530
1,12:57,2,2,NYG 46,0,0,Nick Mullens pass complete short right to George Kittle for 4 yards (tackle by Landon Collins),2.530,2.790
1,12:15,1,10,NYG 42,0,0,Matt Breida right end for 2 yards (tackle by B.W. Webb),2.790,2.510
1,11:46,2,8,NYG 40,0,0,Nick Mullens pass complete short left to Matt Breida for 1 yard (tackle by Alec Ogletree and B.J. Hill),2.510,1.950
1,11:05,3,7,NYG 39,0,0,Nick Mullens pass complete short right to Dante Pettis for 4 yards (tackle by B.W. Webb),1.950,0.990
1,10:18,4,3,NYG 35,0,3,Robbie Gould 53 yard field goal good,0.990,3.000
1,10:13,,,SFO 35,0,3,"Bradley Pinion kicks off 66 yards, returned by Corey Coleman for no gain (tackle by Marcell Harris). Penalty on Nathan Stupar: Offensive Holding, 8 yards",0.000,-0.380
1,10:06,1,10,NYG 8,0,3,Saquon Barkley left guard for 8 yards (tackle by Ronald Blair and Jimmie Ward),-0.380,-0.090
1,9:32,2,2,NYG 16,0,3,Saquon Barkley left end for 18 yards,-0.090,1.200
1,8:52,1,10,NYG 34,0,3,Saquon Barkley up the middle for 1 yard (tackle by DeForest Buckner and Malcolm Smith),1.200,0.790
1,8:15,2,9,NYG 35,0,3,Eli Manning pass complete short left to Elijhaa Penny for 3 yards (tackle by Mark Nzeocha),0.790,0.500
1,7:33,3,6,NYG 38,0,3,Eli Manning pass complete short middle to Sterling Shepard for 6 yards (tackle by K'Waun Williams and Fred Warner),0.500,1.860
1,6:52,1,10,NYG 44,0,3,Saquon Barkley left tackle for 8 yards (tackle by Antone Exum),1.860,2.400
1,6:19,2,2,SFO 48,0,3,Saquon Barkley up the middle for -3 yards (tackle by Arik Armstead),2.400,1.290
1,5:39,3,5,NYG 49,0,3,Eli Manning pass complete short middle to Spencer Pulley for -2 yards (tackle by K'Waun Williams),1.290,-0.260
1,5:05,4,7,NYG 47,0,3,Riley Dixon punts 45 yards downed by Russell Shepard,-0.260,0.380
1,4:56,1,10,SFO 8,0,3,Matt Breida right guard for 4 yards (tackle by B.W. Webb),-0.380,-0.490
1,4:16,2,6,SFO 12,0,3,"Nick Mullens pass incomplete short middle intended for George Kittle. Penalty on Kyle Juszczyk: Offensive Holding, 6 yards (no play)",-0.490,-0.930
1,4:12,2,12,SFO 6,0,3,Nick Mullens pass short left (defended by Janoris Jenkins) intended for Kendrick Bourne is intercepted by B.J. Goodson at SF-17 and returned for 5 yards,-0.930,-4.780
1,4:03,1,10,SFO 12,0,3,Saquon Barkley left guard for no gain (tackle by Ahkello Witherspoon),4.780,4.100
1,3:30,2,10,SFO 12,0,3,Wayne Gallman up the middle for 2 yards (tackle by Malcolm Smith and DeForest Buckner),4.100,3.480
1,2:48,3,8,SFO 10,6,3,"Eli Manning pass complete short left to Odell Beckham for 10 yards, touchdown",3.480,7.000
1,2:43,,,SFO 15,7,3,Aldrick Rosas kicks extra point good,0.000,0.000
1,2:43,,,NYG 35,7,3,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
1,2:43,1,10,SFO 25,7,3,Matt Breida right end for 2 yards (tackle by B.J. Hill and Dalvin Tomlinson),0.610,0.330
1,2:03,2,8,SFO 27,7,3,Nick Mullens pass complete short left to George Kittle for 18 yards (tackle by Curtis Riley),0.330,1.930
1,1:31,1,10,SFO 45,7,3,Nick Mullens pass complete short left to Kyle Juszczyk for 11 yards (tackle by B.W. Webb),1.930,2.650
1,0:46,1,10,NYG 44,7,3,Alfred Morris up the middle for 3 yards (tackle by Alec Ogletree and Landon Collins),2.650,2.520
Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,NYG 41,7,3,Nick Mullens pass complete short right to George Kittle for 22 yards (tackle by Landon Collins),2.520,4.310
2,14:12,1,10,NYG 19,7,3,"Matt Breida right tackle for no gain (tackle by Dalvin Tomlinson). Penalty on Nathan Stupar: Face Mask (15 Yards), 10 yards (no play)",4.310,5.140
2,13:49,1,9,NYG 9,7,3,Matt Breida up the middle for 6 yards (tackle by B.J. Goodson),5.140,5.530
2,13:09,2,3,NYG 3,7,9,"Matt Breida up the middle for 3 yards, touchdown",5.530,7.000
2,13:05,,,NYG 15,7,10,Robbie Gould kicks extra point good,0.000,0.000
2,13:05,,,SFO 35,7,10,"Bradley Pinion kicks off 67 yards, returned by Corey Coleman for no gain (tackle by Antone Exum). Penalty on Scott Simonson: Offensive Holding, 10 yards",0.000,-0.350
2,12:56,1,10,NYG 12,7,10,Eli Manning pass complete short right to Elijhaa Penny for 9 yards (tackle by Mark Nzeocha),-0.350,0.420
2,12:17,2,1,NYG 21,7,10,Saquon Barkley left guard for 3 yards (tackle by Ronald Blair),0.420,0.540
2,11:40,1,10,NYG 24,7,10,Eli Manning pass incomplete short left intended for Odell Beckham (defended by Fred Warner),0.540,0.000
2,11:32,2,10,NYG 24,7,10,Saquon Barkley left end for 2 yards (tackle by Mark Nzeocha),0.000,-0.430
2,10:57,3,8,NYG 26,7,10,Eli Manning pass incomplete short right intended for Sterling Shepard (defended by DeForest Buckner),-0.430,-1.630
2,10:53,4,8,NYG 26,7,10,Riley Dixon punts 59 yards downed by Michael Thomas,-1.630,0.220
2,10:40,1,10,SFO 15,7,10,Matt Breida left tackle for 20 yards (tackle by Michael Thomas),-0.220,1.270
2,9:56,1,10,SFO 35,7,10,Matt Breida right tackle for 3 yards (tackle by Landon Collins),1.270,1.130
2,9:29,2,7,SFO 38,7,10,Nick Mullens pass complete short right to George Kittle for 4 yards (tackle by Lorenzo Carter),1.130,0.960
2,8:46,3,3,SFO 42,7,10,Nick Mullens pass incomplete short right intended for Matt Breida,0.960,-0.590
2,8:42,4,3,SFO 42,7,10,"Bradley Pinion punts 40 yards, fair catch by Quadree Henderson at NYG-18",-0.590,-0.040
2,8:35,1,10,NYG 18,7,10,"Saquon Barkley left end for 3 yards (tackle by Earl Mitchell and DeForest Buckner). Penalty on DeForest Buckner: Face Mask (15 Yards), 15 yards",0.040,1.330
2,8:10,1,10,NYG 36,7,10,Eli Manning pass complete short right to Odell Beckham for 13 yards,1.330,2.190
2,7:44,1,10,NYG 49,7,10,Saquon Barkley up the middle for 7 yards (tackle by Jimmie Ward),2.190,2.590
2,7:04,2,3,SFO 44,7,10,Saquon Barkley up the middle for -1 yards (tackle by Richard Sherman),2.590,1.750
2,6:25,3,4,SFO 45,7,10,Eli Manning pass complete short right to Saquon Barkley for 13 yards (tackle by Cassius Marsh),1.750,3.450
2,5:43,1,10,SFO 32,7,10,Eli Manning pass incomplete short right intended for Wayne Gallman,3.450,2.900
2,5:39,2,10,SFO 32,7,10,Wayne Gallman right end for 1 yard (tackle by Richard Sherman),2.900,2.340
2,4:54,3,9,SFO 31,7,10,Eli Manning pass complete short left to Corey Coleman for 11 yards (tackle by K'Waun Williams),2.340,4.240
2,4:12,1,10,SFO 20,7,10,Eli Manning pass incomplete short left intended for Bennie Fowler,4.240,3.690
2,4:08,2,10,SFO 20,7,10,Eli Manning pass complete short right to Saquon Barkley for no gain (tackle by Jimmie Ward),3.690,3.010
2,3:20,3,10,SFO 20,7,10,"Eli Manning pass incomplete deep middle intended for Odell Beckham. Penalty on Ahkello Witherspoon: Illegal Contact (Declined) . Penalty on Richard Sherman: Defensive Pass Interference, 10 yards (no play)",3.010,4.910
2,3:15,1,10,SFO 10,7,10,Saquon Barkley up the middle for 1 yard (tackle by Arik Armstead),4.910,4.380
2,2:36,2,9,SFO 9,7,10,Saquon Barkley up the middle for 6 yards (tackle by Malcolm Smith),4.380,4.720
2,2:00,3,3,SFO 3,7,10,Saquon Barkley up the middle for 1 yard (tackle by Fred Warner),4.720,3.250
2,1:53,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:53,4,2,SFO 2,10,10,Aldrick Rosas 20 yard field goal good,3.250,3.000
2,1:50,,,NYG 35,10,10,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
2,1:50,1,10,SFO 25,10,10,Matt Breida up the middle for 4 yards (tackle by Lorenzo Carter),0.610,0.600
2,1:11,2,6,SFO 29,10,10,Nick Mullens pass complete short right to Dante Pettis for 1 yard (tackle by B.W. Webb),0.600,0.040
2,1:06,3,5,SFO 30,10,10,Nick Mullens pass complete short left to George Kittle for 18 yards (tackle by Janoris Jenkins and Landon Collins),0.040,2.130
2,0:58,1,10,SFO 48,10,10,Nick Mullens pass incomplete short middle intended for Alfred Morris,2.130,1.580
2,0:55,2,10,SFO 48,10,10,"Nick Mullens pass incomplete short middle intended for George Kittle. Penalty on Alec Ogletree: Defensive Holding, 5 yards (no play)",1.580,2.460
2,0:52,1,10,NYG 47,10,10,Nick Mullens pass incomplete short left intended for George Kittle (defended by Michael Thomas),2.460,1.910
2,0:48,2,10,NYG 47,10,10,Nick Mullens pass complete deep left to Marquise Goodwin for 17 yards (tackle by Curtis Riley),1.910,3.580
2,0:28,1,10,NYG 30,10,10,Nick Mullens pass incomplete short right,3.580,3.030
2,0:22,2,10,NYG 30,10,10,Nick Mullens pass complete short right to Dante Pettis for -1 yards (tackle by Grant Haley),3.030,2.210
2,0:18,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:18,3,11,NYG 31,10,10,Nick Mullens pass complete short left to Marquise Goodwin for 13 yards (tackle by Curtis Riley),2.210,4.370
2,0:12,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:12,1,10,NYG 18,10,10,Nick Mullens pass incomplete short right intended for Dante Pettis,4.370,3.800
2,0:07,,,,,,Timeout #1 by New York Giants,,
2,0:07,2,10,NYG 18,10,13,Robbie Gould 36 yard field goal good,3.800,3.000
2,0:02,,,SFO 35,10,13,"Robbie Gould kicks off 39 yards, returned by Scott Simonson for no gain (tackle by Mark Nzeocha)",0.000,1.270
Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,10,13,"Aldrick Rosas kicks off 25 yards, out of bounds",0.000,1.600
3,15:00,1,10,SFO 40,10,13,Nick Mullens pass incomplete deep middle intended for Kendrick Bourne,1.600,1.050
3,14:55,2,10,SFO 40,10,13,Nick Mullens pass complete short left to George Kittle for 5 yards (tackle by Michael Thomas and Alec Ogletree),1.050,1.030
3,14:06,,,,,,Timeout #1 by San Francisco 49ers,,
3,14:06,3,5,SFO 45,10,13,Nick Mullens pass complete short middle to Matt Breida for 19 yards (tackle by Landon Collins),1.030,3.180
3,13:25,1,10,NYG 36,10,13,"Penalty on George Kittle: False Start, 5 yards (no play)",3.180,2.850
3,13:02,1,15,NYG 41,10,13,Alfred Morris up the middle for 2 yards (tackle by Josh Mauro and B.J. Goodson),2.850,2.230
3,12:18,2,13,NYG 39,10,13,Nick Mullens pass complete short right to George Kittle for 12 yards (tackle by Curtis Riley),2.230,3.140
3,11:35,3,1,NYG 27,10,13,Nick Mullens up the middle for 2 yards (tackle by B.J. Goodson),3.140,3.910
3,10:54,1,10,NYG 25,10,13,Matt Breida right end for 9 yards (tackle by B.J. Goodson),3.910,4.750
3,10:12,2,1,NYG 16,10,13,Matt Breida right tackle for 3 yards (tackle by Olivier Vernon),4.750,4.710
3,9:31,1,10,NYG 13,10,13,Alfred Morris right tackle for 1 yard (tackle by B.J. Goodson and Dalvin Tomlinson),4.710,4.220
3,8:58,2,9,NYG 12,10,13,Nick Mullens pass complete short left to George Kittle for 1 yard (tackle by Janoris Jenkins),4.220,3.450
3,8:15,3,8,NYG 11,10,19,"Nick Mullens pass complete short left to Matt Breida for 11 yards, touchdown",3.450,7.000
3,8:09,,,NYG 15,10,20,Robbie Gould kicks extra point good,0.000,0.000
