Quarter,Time,Tm,Detail,NYG,SFO
1.0,10:13,49ers,Robbie Gould 53 yard field goal,0,3
,2:43,Giants,Odell Beckham Jr. 10 yard pass from Eli Manning (Aldrick Rosas kick),7,3
2.0,13:05,49ers,Matt Breida 3 yard rush (Robbie Gould kick),7,10
,1:50,Giants,Aldrick Rosas 20 yard field goal,10,10
,0:02,49ers,Robbie Gould 36 yard field goal,10,13
3.0,8:09,49ers,Matt Breida 11 yard pass from Nick Mullens (Robbie Gould kick),10,20
,6:36,Giants,Odell Beckham Jr. 20 yard pass from Eli Manning (Aldrick Rosas kick),17,20
,2:10,Giants,Aldrick Rosas 31 yard field goal,20,20
4.0,2:46,49ers,Robbie Gould 30 yard field goal,20,23
,0:53,Giants,Sterling Shepard 3 yard pass from Eli Manning (Aldrick Rosas kick),27,23
