Unnamed: 0,NYG,SFO
First Downs,17,24
Rush-Yds-TDs,23-97-0,29-124-1
Cmp-Att-Yd-TD-INT,19-31-188-3-0,27-39-250-1-2
Sacked-Yards,1-8,0-0
Net Pass Yards,180,250
Total Yards,277,374
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,8-78,10-97
Third Down Conv.,5-12,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,25:46,34:14
