Quarter,Time,Tm,Detail,CIN,BUF
1,0:50,Bills,Rian Lindell 27 yard field goal,0,3
2,6:20,Bengals,Shayne Graham 39 yard field goal,3,3
,1:00,Bengals,Shayne Graham 37 yard field goal,6,3
3,11:26,Bills,Rian Lindell 38 yard field goal,6,6
,0:42,Bills,Travis Henry 9 yard pass from Drew Bledsoe (Rian Lindell kick),6,13
4,9:14,Bengals,Rudi Johnson 16 yard rush (Shayne Graham kick),13,13
,5:33,Bengals,Shayne Graham 30 yard field goal,16,13
,0:28,Bills,Rian Lindell 29 yard field goal,16,16
OT,11:07,Bills,Travis Henry 2 yard rush,16,22
