Unnamed: 0,CIN,BUF
First Downs,18,17
Rush-Yds-TDs,27-67-1,27-80-1
Cmp-Att-Yd-TD-INT,26-44-225-0-1,19-35-211-1-0
Sacked-Yards,1-13,4-34
Net Pass Yards,212,177
Total Yards,279,257
Fumbles-Lost,3-1,3-0
Turnovers,2,0
Penalties-Yards,7-49,6-49
Third Down Conv.,6-16,3-15
Fourth Down Conv.,0-0,1-2
Time of Possession,34:30,29:23
