Unnamed: 0,SEA,CHI
First Downs,18,21
Rush-Yds-TDs,12-34-0,45-176-3
Cmp-Att-Yd-TD-INT,26-46-258-3-0,15-29-274-2-1
Sacked-Yards,2-16,3-13
Net Pass Yards,242,261
Total Yards,276,437
Fumbles-Lost,1-0,2-0
Turnovers,0,1
Penalties-Yards,3-20,8-71
Third Down Conv.,3-14,10-18
Fourth Down Conv.,0-0,1-2
Time of Possession,22:50,37:11
