Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss, Seahawks to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 60 yards, returned by Leon Washington for 14 yards (tackle by Nick Roach)",0.000,0.540
1,14:55,1,10,SEA 24,0,0,Leon Washington left end for 9 yards (tackle by Brian Urlacher),0.540,1.210
1,14:19,2,1,SEA 33,0,0,Marshawn Lynch left tackle for -2 yards (tackle by Israel Idonije),1.210,0.230
1,13:36,3,3,SEA 31,0,0,Matt Hasselbeck pass incomplete short right intended for Brandon Stokley,0.230,-1.310
1,13:32,4,3,SEA 31,0,0,"Jon Ryan punts 35 yards, fair catch by Devin Hester",-1.310,-1.200
1,13:25,1,10,CHI 34,0,0,Matt Forte left end for 5 yards (tackle by Lofa Tatupu),1.200,1.330
1,12:52,2,5,CHI 39,0,0,Matt Forte left guard for 3 yards (tackle by Kentwan Balmer),1.330,1.030
1,12:17,3,2,CHI 42,0,6,"Jay Cutler pass complete deep middle to Greg Olsen for 58 yards, touchdown",1.030,7.000
1,,,,SEA 2,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,0,7,"Robbie Gould kicks off 67 yards, returned by Leon Washington for 21 yards (tackle by Nick Roach)",0.000,0.540
1,12:02,1,10,SEA 24,0,7,Matt Hasselbeck pass complete short left to John Carlson for 14 yards (tackle by Danieal Manning),0.540,1.470
1,11:40,1,10,SEA 38,0,7,Golden Tate right end for 13 yards (tackle by Tim Jennings),1.470,2.320
1,10:58,1,10,CHI 49,0,7,Matt Hasselbeck pass incomplete deep right intended for Cameron Morrah,2.320,1.780
1,10:54,2,10,CHI 49,0,7,Justin Forsett right guard for -1 yards (tackle by Brian Urlacher),1.780,0.960
1,10:19,3,11,,0,7,Matt Hasselbeck pass complete short middle to Cameron Morrah for 10 yards (tackle by Brian Urlacher),0.960,0.590
1,9:30,4,1,CHI 40,0,7,Jon Ryan punts 31 yards,0.590,0.380
1,9:22,1,10,CHI 9,0,7,Matt Forte right end for no gain (tackle by Lawyer Milloy),-0.380,-0.780
1,8:47,2,10,CHI 9,0,7,Jay Cutler pass complete deep middle to Johnny Knox for 18 yards (tackle by Lawyer Milloy),-0.780,0.740
1,8:08,1,10,CHI 27,0,7,Jay Cutler pass incomplete short right intended for Greg Olsen,0.740,0.200
1,8:04,2,10,CHI 27,0,7,Matt Forte right tackle for 6 yards (tackle by Walter Thurmond),0.200,0.300
1,7:22,3,4,CHI 33,0,7,Jay Cutler sacked by Lofa Tatupu for -3 yards,0.300,-1.370
1,6:56,4,7,CHI 30,0,7,"Brad Maynard punts 33 yards, fair catch by Golden Tate",-1.370,-1.400
1,6:49,1,10,SEA 37,0,7,Marshawn Lynch right tackle for no gain (tackle by Brian Urlacher and Chris Harris),1.400,0.860
1,6:17,2,10,SEA 37,0,7,Matt Hasselbeck pass complete short right to Mike Williams for 7 yards (tackle by Charles Tillman),0.860,1.090
1,5:42,3,3,SEA 44,0,7,Matt Hasselbeck pass incomplete short right intended for Ben Obomanu (defended by Tim Jennings),1.090,-0.460
1,5:38,4,3,SEA 44,0,7,Jon Ryan punts 32 yards (tackle by Jon Ryan),-0.460,-2.260
1,5:24,1,10,,0,7,Matt Forte right guard for 5 yards (tackle by David Hawthorne),2.260,2.390
1,4:43,2,5,SEA 45,0,7,Jay Cutler pass complete short right to Greg Olsen for 33 yards (tackle by Earl Thomas),2.390,4.780
1,3:57,1,10,SEA 12,0,7,Earl Bennett left end for 9 yards (tackle by Earl Thomas),4.780,5.790
1,3:13,2,1,SEA 3,0,7,Jay Cutler pass incomplete short right intended for Johnny Knox (defended by Jordan Babineaux),5.790,5.060
1,3:10,3,1,SEA 3,0,7,Matt Forte left tackle for no gain (tackle by David Hawthorne and Lofa Tatupu),5.060,3.060
1,2:28,,,,0,7,Timeout #1 by Chicago Bears,0.000,3.060
1,2:28,4,1,SEA 3,0,7,Jay Cutler right guard for 2 yards (tackle by Jordan Babineaux and Lofa Tatupu),3.060,6.970
1,1:56,1,1,SEA 1,0,7,Matt Forte left guard for no gain (tackle by David Hawthorne),6.970,5.910
1,1:22,2,1,SEA 1,0,13,"Chester Taylor right tackle for 1 yard, touchdown",5.910,7.000
1,,,,SEA 2,0,14,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,0,14,"Robbie Gould kicks off 65 yards, returned by Leon Washington for 23 yards (tackle by Rashied Davis)",0.000,0.810
1,1:13,1,10,SEA 28,0,14,Matt Hasselbeck pass complete short right to Justin Forsett for 7 yards (tackle by Charles Tillman),0.810,1.210
1,0:49,2,3,SEA 35,0,14,"Justin Forsett right end for 1 yard (tackle by Israel Idonije). Penalty on Ruvell Martin: Illegal Motion, 5 yards (no play)",1.210,0.530
1,0:28,2,8,SEA 30,0,14,Matt Hasselbeck pass complete short right to Ben Obomanu for 3 yards (tackle by D.J. Moore),0.530,0.230
Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,SEA 33,0,14,"Matt Hasselbeck pass complete short right to Brandon Stokley for 10 yards (tackle by Lance Briggs). Penalty on Russell Okung: Offensive Holding, 10 yards (no play)",0.230,-1.090
2,14:31,3,15,SEA 23,0,14,Matt Hasselbeck pass incomplete deep right intended for Mike Williams,-1.090,-1.830
2,14:26,4,15,SEA 23,0,14,Jon Ryan punts 40 yards,-1.830,-1.400
2,14:12,1,10,CHI 37,0,14,Jay Cutler pass complete short left to Greg Olsen for 22 yards (tackle by Lofa Tatupu),1.400,2.850
2,13:29,1,10,SEA 41,0,14,Chester Taylor right guard for 8 yards (tackle by David Hawthorne and Kelly Jennings),2.850,3.390
2,12:52,2,2,SEA 33,0,14,Chester Taylor right tackle for 3 yards (tackle by Brandon Mebane),3.390,3.580
2,12:11,1,10,SEA 30,0,14,Jay Cutler pass incomplete short right intended for Greg Olsen,3.580,3.030
2,12:06,2,10,SEA 30,0,14,Matt Forte left end for 6 yards (tackle by Lawyer Milloy),3.030,3.140
2,11:30,3,4,SEA 24,0,14,Jay Cutler pass complete short right to Earl Bennett for 13 yards (tackle by Marcus Trufant),3.140,4.840
2,10:50,1,10,SEA 11,0,14,Matt Forte right guard for 5 yards (tackle by Jay Richardson),4.840,5.080
2,10:11,2,5,SEA 6,0,14,Jay Cutler pass incomplete short right intended for Greg Olsen (defended by Chris Clemons),5.080,4.210
2,10:07,3,5,SEA 6,0,20,"Jay Cutler right guard for 6 yards, touchdown",4.210,7.000
2,,,,SEA 2,0,21,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,0,21,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
