Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ezekiel Elliott,DAL,14,42,1,3,14,1.0,28,2.0,0,
Andy Dalton,DAL,7,48,0,4,42,6.0,6,0.9,0,
Tony Pollard,DAL,5,15,0,1,3,0.6,12,2.4,1,5.0
CeeDee Lamb,DAL,1,3,0,0,3,3.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Wayne Gallman,NYG,11,65,0,4,44,4.0,21,1.9,0,
Daniel Jones,NYG,9,17,0,0,11,1.2,6,0.7,0,
Alfred Morris,NYG,5,12,0,,4,0.8,8,1.6,1,5.0
Sterling Shepard,NYG,2,24,1,1,19,9.5,5,2.5,0,
Dion Lewis,NYG,1,7,0,1,5,5.0,2,2.0,0,
