Unnamed: 0,DAL,NYG
First Downs,26,22
Rush-Yds-TDs,27-108-1,28-125-1
Cmp-Att-Yd-TD-INT,29-47-244-0-1,17-25-229-2-1
Sacked-Yards,6-45,2-18
Net Pass Yards,199,211
Total Yards,307,336
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,6-58,6-45
Third Down Conv.,6-17,0-7
Fourth Down Conv.,1-1,0-0
Time of Possession,32:33,27:27
