Quarter,Time,Tm,Detail,DAL,NYG
1.0,11:46,Giants,Sterling Shepard 23 yard rush (Graham Gano kick failed),0,6
,5:03,Cowboys,Greg Zuerlein 38 yard field goal,3,6
2.0,6:42,Giants,Sterling Shepard 10 yard pass from Daniel Jones (Graham Gano kick),3,13
,2:13,Cowboys,Greg Zuerlein 46 yard field goal,6,13
,0:45,Giants,Dante Pettis 33 yard pass from Daniel Jones (Graham Gano kick),6,20
,0:00,Cowboys,Greg Zuerlein 57 yard field goal,9,20
3.0,8:39,Cowboys,Ezekiel Elliott 1 yard rush (Greg Zuerlein kick),16,20
4.0,14:16,Cowboys,Greg Zuerlein 36 yard field goal,19,20
,6:27,Giants,Graham Gano 50 yard field goal,19,23
