Quarter,Time,Tm,Detail,MIA,NYJ
1.0,3:06,Dolphins,Jason Sanders 22 yard field goal,3,0
2.0,13:45,Jets,Robbie Chosen 26 yard pass from Sam Darnold (Sam Ficken kick failed),3,6
,11:01,Jets,Sam Ficken 37 yard field goal,3,9
,5:41,Dolphins,Jason Sanders 25 yard field goal,6,9
,1:55,Jets,Demaryius Thomas 14 yard pass from Sam Darnold (Sam Ficken kick),6,16
,0:19,Dolphins,Jason Sanders 28 yard field goal,9,16
3.0,10:43,Dolphins,Jason Sanders 31 yard field goal,12,16
4.0,10:52,Dolphins,Jason Sanders 53 yard field goal,15,16
,6:59,Dolphins,Jason Sanders 48 yard field goal,18,16
,4:05,Jets,Sam Ficken 42 yard field goal,18,19
,1:33,Dolphins,Jason Sanders 37 yard field goal,21,19
,0:00,Jets,Sam Ficken 44 yard field goal,21,22
