Unnamed: 0,MIN,ATL
First Downs,24,22
Rush-Yds-TDs,39-191-2,24-116-0
Cmp-Att-Yd-TD-INT,20-28-174-0-1,22-31-230-1-2
Sacked-Yards,0-0,2-20
Net Pass Yards,174,210
Total Yards,365,326
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,9-53,6-78
Third Down Conv.,7-12,5-11
Fourth Down Conv.,0-0,0-1
Time of Possession,33:28,26:32
