Quarter,Time,Tm,Detail,MIN,ATL
1.0,3:42,Vikings,Adrian Peterson 1 yard rush (Blair Walsh kick),7,0
2.0,6:13,Falcons,Shayne Graham 31 yard field goal,7,3
3.0,1:49,Vikings,Blair Walsh 29 yard field goal,10,3
4.0,6:24,Vikings,Blair Walsh 39 yard field goal,13,3
,4:15,Vikings,Adrian Peterson 35 yard rush (Blair Walsh kick),20,3
,1:28,Falcons,Nick Williams 1 yard pass from Matt Ryan (Shayne Graham kick),20,10
