Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
1,9:15,,,JAX 30,7,0,"Danny Boyd kicks off 62 yards, returned by Brandon Bennett for 18 yards (tackle by Akin Ayodele)",0.000,0.670
1,9:02,1,10,CIN 26,7,0,Corey Dillon right guard for 3 yards (tackle by John Henderson),0.670,0.540
1,8:30,2,7,CIN 29,7,0,Corey Dillon for -5 yards (tackle by Marlon McCree),0.540,-0.820
1,7:53,3,12,CIN 24,7,0,Jon Kitna sacked by Marcus Stroud and John Henderson for -9 yards,-0.820,-2.440
1,7:25,4,21,CIN 15,7,0,"Nick Harris punts 42 yards, out of bounds",-2.440,-1.800
1,7:17,1,10,JAX 43,7,0,Mark Brunell sacked by Justin Smith for -5 yards,1.800,0.580
1,6:47,2,15,JAX 38,7,0,Fred Taylor right end for 6 yards (tackle by Jeff Burris),0.580,0.690
1,6:21,3,9,JAX 44,7,0,Mark Brunell sacked by Cory Hall for -2 yards,0.690,-0.590
1,5:58,4,11,JAX 42,7,0,"Chris Hanson punts 28 yards, out of bounds",-0.590,-0.940
1,5:49,1,10,CIN 30,7,0,Jon Kitna pass incomplete intended for Chad Johnson,0.940,0.390
1,5:45,2,10,CIN 30,7,0,Corey Dillon left end for 3 yards (tackle by John Henderson),0.390,0.100
1,4:58,3,7,CIN 33,7,0,Jon Kitna pass complete to T.J. Houshmandzadeh for 21 yards (tackle by Donovin Darius),0.100,2.520
1,4:15,1,10,JAX 46,7,0,Jon Kitna pass complete to Lorenzo Neal for 5 yards (tackle by T.J. Slaughter),2.520,2.650
1,3:29,2,5,JAX 41,7,0,Corey Dillon left tackle for 6 yards (tackle by T.J. Slaughter and Wali Rainer),2.650,3.250
1,2:55,1,10,JAX 35,7,0,Jon Kitna pass incomplete intended for Chad Johnson,3.250,2.700
1,2:49,2,10,JAX 35,7,0,Corey Dillon right tackle for 1 yard (tackle by Wali Rainer),2.700,2.150
1,2:04,3,9,JAX 34,7,0,Jon Kitna pass incomplete intended for Chad Johnson (defended by Fernando Bryant),2.150,1.060
1,1:59,3,9,JAX 34,,,Timeout #1 by Cincinnati Bengals,2.150,1.060
1,1:59,4,9,JAX 34,7,3,Neil Rackers 51 yard field goal good,1.060,3.000
1,1:59,,,CIN 30,7,3,"Neil Rackers kicks off 64 yards, returned by Ike Charlton for 32 yards (tackle by Adrian Ross)",0.000,1.470
1,1:47,1,10,JAX 38,7,3,Mark Brunell pass complete to Jimmy Smith for 16 yards (tackle by Takeo Spikes and Cory Hall),1.470,2.520
1,1:10,1,10,CIN 46,7,3,Fred Taylor right end for 6 yards (tackle by Takeo Spikes),2.520,2.790
1,0:32,2,4,CIN 40,7,3,Mark Brunell pass complete to Jimmy Smith for 9 yards (tackle by Kevin Kaesviharn),2.790,3.510
Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 31,7,3,Mark Brunell pass complete to Jimmy Smith for 12 yards (tackle by JoJuan Armour),3.510,4.310
2,14:36,1,10,CIN 19,7,3,Fred Taylor right tackle for 10 yards (tackle by Cory Hall),4.310,5.140
2,13:52,1,9,CIN 9,13,3,"Mark Brunell pass complete to Pete Mitchell for 9 yards, touchdown",5.140,7.000
,,,,,,,"CIN challenged the ruling, and the play was upheld.",,
2,13:52,,,CIN 9,14,3,Danny Boyd kicks extra point good,0.000,0.000
2,13:52,,,JAX 30,14,3,"Danny Boyd kicks off 52 yards, returned by Lorenzo Neal for 17 yards (tackle by Jimmy Redmond)",0.000,1.270
2,13:39,1,10,CIN 35,14,3,Jon Kitna pass complete to Chad Johnson for 44 yards (tackle by Jason Craft),1.270,4.170
2,12:55,1,10,JAX 21,14,3,Jon Kitna pass complete to T.J. Houshmandzadeh for 5 yards (tackle by Donovin Darius),4.170,4.370
2,12:17,2,5,JAX 16,14,3,Corey Dillon right tackle for 2 yards (tackle by Danny Clark),4.370,4.020
2,11:40,3,3,JAX 14,14,3,Jon Kitna pass complete to Matt Schobel for 5 yards (tackle by Danny Clark),4.020,5.140
2,11:03,1,9,JAX 9,14,3,Corey Dillon left end for 4 yards (tackle by Donovin Darius),5.140,5.150
2,10:31,2,5,JAX 5,14,3,Corey Dillon left tackle for 4 yards (tackle by T.J. Slaughter),5.150,5.170
2,9:52,3,1,JAX 1,14,3,Corey Dillon right guard for -1 yards (tackle by Wali Rainer),5.170,3.250
2,9:08,4,2,JAX 2,14,6,Neil Rackers 18 yard field goal good,3.250,3.000
2,9:08,,,CIN 30,14,6,"Neil Rackers kicks off 59 yards, returned by Elvis Joseph for 20 yards (tackle by Marquand Manuel)",0.000,1.000
2,9:00,1,10,JAX 31,14,6,Mark Brunell pass complete to Bobby Shaw for 7 yards (tackle by Jeff Burris),1.000,1.410
2,8:37,2,3,JAX 38,14,6,Fred Taylor right end for 2 yards (tackle by Canute Curtis),1.410,0.960
2,7:58,3,1,JAX 40,14,6,Stacey Mack left end for no gain (tackle by Glen Steele),0.960,-0.720
2,7:28,4,1,JAX 40,14,6,"Chris Hanson punts 48 yards, returned by T.J. Houshmandzadeh for 8 yards (tackle by Akin Ayodele)",-0.720,-0.280
2,7:18,1,10,CIN 20,14,6,Jon Kitna pass complete to Tony Stewart for 6 yards (tackle by T.J. Slaughter),0.280,0.540
2,6:43,2,4,CIN 26,14,6,Corey Dillon left end for -1 yards (tackle by Wali Rainer and Rob Meier),0.540,-0.300
2,5:59,3,5,CIN 25,14,6,Jon Kitna pass complete to Chad Johnson for 17 yards (tackle by Fernando Bryant),-0.300,1.730
2,5:14,1,10,CIN 42,14,6,"Penalty on Chad Johnson: False Start, 5 yards (no play)",1.730,1.400
2,4:59,1,15,CIN 37,14,6,Jon Kitna pass complete to Brandon Bennett for 8 yards (tackle by Donovin Darius),1.400,1.590
2,4:20,2,7,CIN 45,14,6,Jon Kitna pass incomplete intended for Ron Dugans,1.590,0.890
2,4:14,3,7,CIN 45,14,6,Jon Kitna pass complete to Ron Dugans for 9 yards (tackle by Jason Craft),0.890,2.520
2,3:37,1,10,JAX 46,14,6,Corey Dillon left tackle for 3 yards (tackle by Paul Spicer),2.520,2.380
2,3:01,2,7,JAX 43,14,6,Corey Dillon for 6 yards (tackle by Fernando Bryant),2.380,2.480
2,2:26,2,7,JAX 43,,,Timeout #3 by Cincinnati Bengals,2.380,2.480
2,2:26,3,1,JAX 37,14,6,Corey Dillon right tackle for 7 yards (tackle by Donovin Darius and Akin Ayodele),2.480,3.580
2,2:00,1,10,JAX 30,14,6,Jon Kitna pass incomplete intended for Matt Schobel (defended by Wali Rainer),3.580,3.030
2,1:55,2,10,JAX 30,14,6,Jon Kitna pass incomplete intended for Lorenzo Neal (defended by Marcus Stroud),3.030,2.340
2,1:50,3,10,JAX 30,14,6,Jon Kitna pass complete to Ron Dugans for 25 yards (tackle by Jason Craft),2.340,6.060
2,1:06,1,5,JAX 5,14,6,Jon Kitna pass incomplete intended for Matt Schobel (defended by John Henderson),6.060,5.150
2,1:02,2,5,JAX 5,14,12,"Jon Kitna middle for 5 yards, touchdown. Penalty on Rob Meier: Defensive Offside (Declined)",5.150,7.000
2,1:02,2,,JAX 5,14,12,"Two Point Attempt: Jon Kitna pass incomplete intended for Corey Dillon, conversion fails",1.000,-1.000
2,1:02,,,CIN 30,14,12,"Neil Rackers kicks off 50 yards, returned by Elvis Joseph for 15 yards (tackle by Cory Hall)",0.000,1.270
2,0:53,1,10,JAX 35,14,12,Mark Brunell pass complete to Fred Taylor for 4 yards (tackle by Brian Simmons),1.270,1.260
2,0:26,2,6,JAX 39,14,12,Mark Brunell pass complete to Fred Taylor for 14 yards (tackle by Mark Roman),1.260,2.460
2,0:18,2,6,JAX 39,,,Timeout #1 by Jacksonville Jaguars,1.260,2.460
2,0:18,1,10,CIN 47,14,12,Mark Brunell pass incomplete intended for Kevin Lockett,2.460,1.910
2,0:13,2,10,CIN 47,14,12,Mark Brunell pass complete to Fred Taylor for 5 yards (tackle by Jeff Burris),1.910,1.880
2,0:04,2,10,CIN 47,,,Timeout #2 by Jacksonville Jaguars,1.910,1.880
2,0:04,3,5,CIN 42,14,12,Mark Brunell pass incomplete intended for Jimmy Smith,1.880,0.460
Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,14,12,"Danny Boyd kicks off 44 yards, returned by Brock Gutierrez for 11 yards (tackle by Joe Tuipala). Penalty on JAX: Offensive Offside (Declined)",0.000,1.400
3,14:57,1,10,CIN 37,14,12,Jon Kitna sacked by Paul Spicer for -7 yards,1.400,-0.090
3,14:26,2,17,CIN 30,14,12,Corey Dillon left end for no gain (tackle by Danny Clark and Marcus Stroud),-0.090,-0.760
3,13:48,3,17,CIN 30,14,12,Jon Kitna pass complete to Ron Dugans for 16 yards (tackle by Ike Charlton),-0.760,-0.320
3,13:01,4,1,CIN 46,14,12,"Corey Dillon right tackle for 1 yard. Penalty on Wali Rainer: Personal Foul, 15 yards",-0.320,3.050
3,12:43,1,10,JAX 38,14,12,Jon Kitna pass complete to Ron Dugans for 7 yards (tackle by Fernando Bryant),3.050,3.450
3,12:02,2,3,JAX 31,14,12,Brandon Bennett left tackle for 1 yard (tackle by Jason Craft),3.450,2.870
3,11:25,3,2,JAX 30,14,12,Jon Kitna pass complete to Ron Dugans for 2 yards (tackle by Jason Craft),2.870,3.710
3,10:56,1,10,JAX 28,14,12,Corey Dillon right guard for 3 yards (tackle by Donovin Darius),3.710,3.570
3,10:21,2,7,JAX 25,14,12,"Jon Kitna pass incomplete intended for Chad Johnson. Penalty on Jason Craft: Defensive Pass Interference, 14 yards (no play)",3.570,4.840
3,10:16,1,10,JAX 11,14,12,Jon Kitna pass incomplete intended for Chad Johnson,4.840,4.140
3,10:13,2,10,JAX 11,14,12,Corey Dillon left end for 3 yards (tackle by Marcus Stroud),4.140,3.760
3,9:30,3,7,JAX 8,14,12,Jon Kitna pass incomplete intended for Brandon Bennett (defended by Marlon McCree),3.760,2.960
3,9:24,4,7,JAX 8,14,15,Neil Rackers 25 yard field goal good,2.960,3.000
3,9:24,,,CIN 30,14,15,"Neil Rackers kicks off 69 yards, returned by Ike Charlton for 29 yards (tackle by Marquand Manuel)",0.000,0.940
3,9:14,1,10,JAX 30,14,15,Mark Brunell pass complete to Kyle Brady for 23 yards (tackle by Kevin Kaesviharn),0.940,2.460
3,8:41,1,10,CIN 47,14,15,Fred Taylor left tackle for 6 yards (tackle by Takeo Spikes),2.460,2.720
3,7:58,2,4,CIN 41,14,15,Fred Taylor left tackle for -2 yards (tackle by Brian Simmons),2.720,1.750
3,7:16,3,6,CIN 43,14,15,Mark Brunell pass incomplete,1.750,0.400
3,7:07,4,6,CIN 43,14,15,"Chris Hanson punts 43 yards, touchback. Penalty on CIN: Defensive 12 On-field, 5 yards (no play)",0.400,0.720
3,7:00,4,1,CIN 38,14,15,Stacey Mack left guard for 8 yards (tackle by Takeo Spikes),0.720,3.580
3,6:19,1,10,CIN 30,14,15,Mark Brunell pass incomplete intended for Jimmy Smith (defended by Kevin Kaesviharn),3.580,3.030
3,6:13,2,10,CIN 30,14,15,Mark Brunell pass complete to Jimmy Smith for 8 yards (tackle by Kevin Kaesviharn),3.030,3.400
3,5:41,3,2,CIN 22,14,15,Mark Brunell sacked by Cory Hall and Glen Steele for -4 yards,3.400,1.760
3,4:54,4,6,CIN 26,20,15,"Mark Brunell pass complete to Jimmy Smith for 26 yards, touchdown",1.760,7.000
3,4:54,4,,CIN 26,22,15,"Two Point Attempt: Fred Taylor right guard, conversion succeeds",1.000,1.000
3,4:54,,,JAX 30,22,15,"Danny Boyd kicks off 58 yards, returned by Brandon Bennett for 24 yards (tackle by Joe Tuipala)",0.000,1.330
3,4:42,1,10,CIN 36,22,15,Corey Dillon right tackle for -2 yards (tackle by Wali Rainer),1.330,0.520
3,4:06,2,12,CIN 34,22,15,Jon Kitna pass complete to Matt Schobel for 3 yards,0.520,0.230
3,3:36,3,9,CIN 37,22,15,Jon Kitna pass incomplete intended for Chad Johnson,0.230,-0.910
3,3:30,4,9,CIN 37,22,15,"Nick Harris punts 40 yards, returned by Bobby Shaw for 11 yards (tackle by Brad St. Louis)",-0.910,-1.200
3,3:18,1,10,JAX 34,22,15,Fred Taylor right end for -1 yards (tackle by Canute Curtis and Eric Ogbogu),1.200,0.520
3,2:38,2,11,JAX 33,22,15,Mark Brunell pass complete to Pete Mitchell for 7 yards (tackle by Justin Smith),0.520,0.760
3,1:52,3,4,JAX 40,22,15,Mark Brunell pass incomplete intended for Bobby Shaw,0.760,-0.720
3,1:48,4,4,JAX 40,22,15,"Chris Hanson punts 36 yards, returned by T.J. Houshmandzadeh for 5 yards (tackle by Patrick Washington)",-0.720,-0.870
3,1:39,1,10,CIN 29,22,15,Jon Kitna pass complete to Matt Schobel for 9 yards,0.870,1.540
3,1:16,2,1,CIN 38,22,15,Corey Dillon right tackle for 16 yards (tackle by Paul Spicer),1.540,2.520
3,0:39,1,10,JAX 46,22,15,Corey Dillon left tackle for 5 yards (tackle by T.J. Slaughter),2.520,2.650
3,0:04,2,5,JAX 41,22,15,Jon Kitna pass complete to Lorenzo Neal for 3 yards (tackle by T.J. Slaughter and Wali Rainer),2.650,2.350
Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,JAX 38,22,15,Jon Kitna pass incomplete intended for T.J. Houshmandzadeh,2.350,0.720
4,14:56,4,2,JAX 38,22,15,Jon Kitna pass incomplete intended for Brandon Bennett (defended by Eric Westmoreland),0.720,-1.470
4,14:52,1,10,JAX 38,22,15,Fred Taylor left guard for 2 yards (tackle by Takeo Spikes and JoJuan Armour),1.470,1.190
4,14:16,2,8,JAX 40,22,15,Mark Brunell pass incomplete intended for Jimmy Smith,1.190,0.500
4,14:11,2,8,JAX 40,,,Timeout #1 by Jacksonville Jaguars,1.190,0.500
4,14:11,3,8,JAX 40,22,15,Mark Brunell pass complete to Jimmy Smith for 13 yards (tackle by Jeff Burris),0.500,2.460
4,13:28,1,10,CIN 47,22,15,Fred Taylor right guard for no gain (tackle by Reinard Wilson),2.460,1.910
4,12:50,2,10,CIN 47,22,15,Mark Brunell pass complete to Fred Taylor for 20 yards (tackle by JoJuan Armour),1.910,3.780
4,12:18,1,10,CIN 27,22,15,Fred Taylor middle for 12 yards (tackle by Takeo Spikes and JoJuan Armour),3.780,4.580
4,11:29,1,10,CIN 15,22,15,"Penalty on JAX: Delay of Game, 5 yards (no play)",4.580,4.240
4,11:03,1,15,CIN 20,22,15,Fred Taylor left guard for 5 yards (tackle by JoJuan Armour and Justin Smith),4.240,3.950
4,10:26,2,10,CIN 15,22,15,Mark Brunell pass complete to Pete Mitchell for 12 yards (tackle by Kevin Kaesviharn),3.950,6.510
4,9:57,1,3,CIN 3,28,15,"Stacey Mack middle for 3 yards, touchdown",6.510,7.000
4,9:57,,,CIN 3,29,15,Danny Boyd kicks extra point good,0.000,0.000
4,9:57,,,JAX 30,29,15,"Danny Boyd kicks off 57 yards, returned by Brandon Bennett for 26 yards (tackle by Akin Ayodele). Penalty on Steve Smith: Personal Foul, 15 yards",0.000,2.520
4,9:43,1,10,JAX 46,29,15,Jon Kitna pass incomplete (defended by John Henderson),2.520,1.980
4,9:40,2,10,JAX 46,29,15,Jon Kitna pass incomplete intended for Chad Johnson,1.980,1.290
4,9:34,3,10,JAX 46,29,15,Jon Kitna pass incomplete intended for Ron Dugans is intercepted by Jason Craft at JAX-24,1.290,-0.540
4,9:27,1,10,JAX 24,29,15,Fred Taylor left guard for 1 yard (tackle by Canute Curtis and Takeo Spikes),0.540,0.130
4,8:48,2,9,JAX 25,29,15,Fred Taylor right tackle for 2 yards (tackle by Jeff Burris),0.130,-0.300
4,8:04,3,7,JAX 27,29,15,Mark Brunell pass complete to Pete Mitchell for 3 yards (tackle by Brian Simmons and Kevin Kaesviharn),-0.300,-1.370
4,7:29,4,4,JAX 30,29,15,"Chris Hanson punts 53 yards, returned by T.J. Houshmandzadeh for 34 yards (tackle by Micah Ross)",-1.370,-2.320
4,7:13,1,10,JAX 49,29,15,Jon Kitna pass complete to Chad Johnson for 11 yards (tackle by Fernando Bryant),2.320,3.050
4,6:45,1,10,JAX 38,29,15,Jon Kitna pass complete to Ron Dugans for 10 yards (tackle by Ike Charlton),3.050,3.710
4,6:14,1,10,JAX 28,29,15,Jon Kitna pass incomplete intended for Ron Dugans,3.710,3.170
4,6:10,2,10,JAX 28,29,15,Jon Kitna pass complete to Brandon Bennett for 12 yards (tackle by Danny Clark),3.170,4.510
4,5:37,1,10,JAX 16,29,15,Jon Kitna pass complete to T.J. Houshmandzadeh for 15 yards (tackle by Danny Clark),4.510,6.970
4,5:09,1,1,JAX 1,29,15,"Jon Kitna sacked by Jason Craft for -1 yards. Penalty on Nick Luchey: Illegal Motion, 5 yards (no play)",6.970,5.830
4,4:58,1,6,JAX 6,29,15,Jon Kitna pass incomplete intended for Chad Johnson (defended by Fernando Bryant),5.830,4.950
4,4:55,2,6,JAX 6,29,15,"Jon Kitna pass incomplete intended for Ron Dugans. Penalty on Ron Dugans: Offensive Pass Interference, 9 yards (no play)",4.950,3.460
4,4:46,2,15,JAX 15,29,15,Jon Kitna pass incomplete intended for Chad Johnson (defended by Ike Charlton),3.460,2.930
4,4:40,3,15,JAX 15,29,15,Corey Dillon right guard for 1 yard (tackle by John Henderson),2.930,2.510
4,4:02,4,14,JAX 14,29,15,Jon Kitna pass incomplete intended for Ron Dugans,2.510,0.220
4,3:57,1,10,JAX 15,29,15,Stacey Mack right guard for 4 yards (tackle by Takeo Spikes),-0.220,-0.110
4,3:24,2,6,JAX 19,29,15,Stacey Mack left tackle for 6 yards (tackle by Marquand Manuel),-0.110,0.610
4,2:42,1,10,JAX 25,29,15,Stacey Mack right tackle for 1 yard (tackle by Tony Williams),0.610,0.200
4,2:35,1,10,JAX 25,,,Timeout #1 by Cincinnati Bengals,0.610,0.200
4,2:35,2,9,JAX 26,29,15,Mark Brunell pass incomplete intended for Chris Luzar,0.200,-0.490
4,2:28,3,9,JAX 26,29,15,Stacey Mack left tackle for 1 yard (tackle by Takeo Spikes and Brian Simmons),-0.490,-1.570
4,2:20,3,9,JAX 26,,,Timeout #2 by Cincinnati Bengals,-0.490,-1.570
4,2:20,4,8,JAX 27,29,15,"Chris Hanson punts 45 yards, returned by T.J. Houshmandzadeh for -2 yards (tackle by Jimmy Redmond)",-1.570,-0.670
4,2:09,1,10,CIN 26,29,15,Jon Kitna pass complete to Chad Johnson for 19 yards (tackle by Ike Charlton),0.670,1.930
4,2:00,1,10,CIN 45,29,15,Jon Kitna pass incomplete intended for Chad Johnson,1.930,1.380
4,1:54,2,10,CIN 45,29,15,Jon Kitna pass complete to Brandon Bennett for 6 yards (tackle by Eric Westmoreland),1.380,1.490
4,1:49,3,4,JAX 49,29,15,"Jon Kitna sacked by Marco Coleman for -7 yards. Jon Kitna fumbles (forced by Marco Coleman), recovered by John Henderson at CIN-44 (tackle by Willie Anderson)",1.490,-2.650
4,1:39,1,10,CIN 44,29,15,Stacey Mack left end for 6 yards (tackle by Canute Curtis),2.650,2.920
4,0:59,2,4,CIN 38,29,15,Stacey Mack right end for 2 yards (tackle by Glen Steele and JoJuan Armour),2.920,2.480
4,0:51,2,4,CIN 38,,,Timeout #3 by Cincinnati Bengals,2.920,2.480
4,0:51,3,2,CIN 36,29,15,Mark Brunell right guard for 1 yard (tackle by Glen Steele),2.480,1.000
4,0:07,4,1,CIN 35,29,15,"Penalty on JAX: Delay of Game, 5 yards (no play)",1.000,0.590
4,0:07,4,6,CIN 40,29,15,Mark Brunell kneels for no gain,0.590,-1.600
4,0:05,1,10,CIN 40,29,15,Jon Kitna kneels for no gain,1.600,1.050
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
