Unnamed: 0,JAX,CIN
First Downs,20,19
Rush-Yds-TDs,30-109-1,24-65-1
Cmp-Att-Yd-TD-INT,19-28-223-3-0,22-42-258-0-1
Sacked-Yards,3-11,3-23
Net Pass Yards,212,235
Total Yards,321,300
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-54,5-29
Third Down Conv.,3-12,7-17
Fourth Down Conv.,2-3,1-3
Time of Possession,30:01,29:59
