Unnamed: 0,PHI,DAL
First Downs,21,26
Rush-Yds-TDs,24-97-1,34-187-1
Cmp-Att-Yd-TD-INT,32-44-202-1-0,19-40-287-2-1
Sacked-Yards,3-8,2-14
Net Pass Yards,194,273
Total Yards,291,460
Fumbles-Lost,4-1,2-0
Turnovers,1,1
Penalties-Yards,5-40,11-84
Third Down Conv.,6-15,4-14
Fourth Down Conv.,0-0,2-2
Time of Possession,33:15,33:57
