Quarter,Time,Tm,Detail,NYG,ATL
2.0,6:44,Giants,Jay Feely 21 yard field goal,3,0
,1:52,Falcons,Michael Vick 22 yard rush (Morten Andersen kick),3,7
3.0,11:53,Falcons,Warrick Dunn 90 yard rush (Morten Andersen kick),3,14
,7:50,Giants,Brandon Jacobs 2 yard rush (Jay Feely kick),10,14
,0:25,Giants,Jeremy Shockey 2 yard pass from Eli Manning (Jay Feely kick),17,14
4.0,11:04,Giants,Jay Feely 39 yard field goal,20,14
,3:45,Giants,Jeremy Shockey 4 yard pass from Eli Manning (Jay Feely kick),27,14
