Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Jay Feely kicks off 70 yards, returned by Jerious Norwood for 22 yards (tackle by Justin Tuck)",0.000,0.410
1,14:55,1,10,ATL 22,0,0,Michael Vick pass complete deep left to Michael Jenkins for 17 yards (tackle by Sam Madison),0.410,1.530
1,14:19,1,10,ATL 39,0,0,Warrick Dunn middle for -1 yards (tackle by Barry Cofield and Osi Umenyiora),1.530,0.850
1,13:39,2,11,ATL 38,0,0,Warrick Dunn middle for 8 yards (tackle by Will Demps),0.850,1.220
1,12:57,3,3,ATL 46,0,0,Michael Vick for 4 yards (tackle by Antonio Pierce),1.220,2.260
1,12:28,1,10,ATL 50,0,0,Warrick Dunn right tackle for -1 yards (tackle by Brandon Short),2.260,1.580
1,11:53,2,11,ATL 49,0,0,Michael Vick for 12 yards (tackle by Brandon Short),1.580,2.980
1,10:43,1,10,NYG 39,0,0,Warrick Dunn left tackle for 1 yard (tackle by Brandon Short),2.980,2.580
1,10:42,2,9,NYG 38,0,0,"Michael Vick sacked by Corey Webster for -8 yards. Michael Vick fumbles (forced by Corey Webster), recovered by Michael Vick at NYG-46",2.580,0.830
1,10:13,3,17,NYG 46,0,0,Michael Vick pass incomplete short left intended for Michael Jenkins,0.830,0.200
1,10:08,4,17,NYG 46,0,0,"Michael Koenen punts 30 yards, fair catch by Chad Morton",0.200,0.140
1,10:00,1,10,NYG 16,0,0,Eli Manning pass incomplete short right intended for Visanthe Shiancoe is intercepted by Demorrio Williams at NYG-29 and returned for 9 yards,-0.140,-4.240
1,9:52,1,10,NYG 20,0,0,Michael Vick sacked by Osi Umenyiora for -9 yards,4.240,2.480
1,9:21,2,19,NYG 29,0,0,"Penalty on Wayne Gandy: False Start, 5 yards (no play)",2.480,1.800
1,9:01,2,24,NYG 34,0,0,Warrick Dunn middle for 9 yards (tackle by Osi Umenyiora),1.800,2.340
1,8:11,3,15,NYG 25,0,0,Michael Vick pass incomplete deep middle intended for Roddy White is intercepted by Sam Madison at NYG-3 and returned for 24 yards,2.340,-0.740
1,8:04,1,10,NYG 27,0,0,Tiki Barber middle for 4 yards (tackle by Lawyer Milloy),0.740,0.740
1,7:25,2,6,NYG 31,0,0,Tiki Barber left tackle for -1 yards (tackle by Keith Brooking and Grady Jackson),0.740,-0.100
1,6:38,3,7,NYG 30,0,0,Eli Manning pass complete short middle to Jeremy Shockey for 4 yards (tackle by John Abraham and Keith Brooking),-0.100,-1.110
1,6:02,4,3,NYG 34,0,0,Jeff Feagles punts 30 yards,-1.110,-1.330
1,5:55,1,10,ATL 36,0,0,Warrick Dunn middle for 20 yards (tackle by Corey Webster),1.330,2.650
1,5:11,1,10,NYG 44,0,0,"Michael Vick for no gain. Michael Vick fumbles, recovered by Sam Madison at ATL-48",2.650,-2.390
1,5:02,1,10,ATL 48,0,0,Eli Manning pass incomplete short left intended for Plaxico Burress (defended by DeAngelo Hall),2.390,1.850
1,4:58,2,10,ATL 48,0,0,Tiki Barber left end for 18 yards (tackle by Keith Brooking),1.850,3.580
1,4:25,1,10,ATL 30,0,0,Tiki Barber left tackle for 15 yards (tackle by Chris Crocker),3.580,4.580
1,3:50,1,10,ATL 15,0,0,"Tiki Barber left tackle for 2 yards (tackle by DeAngelo Hall). Penalty on Jeremy Shockey: Offensive Holding, 10 yards",4.580,4.040
1,3:22,1,18,ATL 23,0,0,Eli Manning pass incomplete deep left intended for Amani Toomer (defended by Chris Crocker),4.040,2.940
1,3:16,2,18,ATL 23,0,0,Tiki Barber left tackle for no gain (tackle by Michael Boley),2.940,2.280
1,2:35,3,18,ATL 23,0,0,Eli Manning pass incomplete short right intended for Tim Carter is intercepted by DeAngelo Hall at ATL-10 and returned for 16 yards,2.280,-0.670
1,2:23,1,10,ATL 26,0,0,Jerious Norwood left tackle for 6 yards (tackle by Michael Strahan),0.670,0.940
1,1:47,2,4,ATL 32,0,0,Jerious Norwood left tackle for 1 yard (tackle by Mathias Kiwanuka),0.940,0.370
1,1:05,3,3,ATL 33,0,0,Michael Vick right end for 6 yards (tackle by Mathias Kiwanuka),0.370,1.530
1,0:17,,,,0,0,Timeout #1 by Atlanta Falcons,0.000,1.530
1,0:17,1,10,ATL 39,0,0,Michael Vick pass incomplete deep left intended for Michael Jenkins,1.530,0.990
1,0:08,2,10,ATL 39,0,0,Jerious Norwood right tackle for 2 yards (tackle by Barry Cofield),0.990,0.560
Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,ATL 41,0,0,Michael Vick pass incomplete,0.560,-0.650
2,14:50,4,8,ATL 41,0,0,"Michael Koenen punts 36 yards, returned by Chad Morton for 1 yard (tackle by Kevin Mathis)",-0.650,-0.540
2,14:46,1,10,NYG 24,0,0,Tiki Barber left end for -1 yards (tackle by Demorrio Williams),0.540,-0.140
2,14:21,2,11,NYG 23,0,0,Eli Manning sacked by Patrick Kerney for -3 yards,-0.140,-1.220
2,13:48,,,,0,0,Timeout #1 by New York Giants,0.000,-1.220
2,13:48,3,14,NYG 20,0,0,Eli Manning pass incomplete deep right intended for Plaxico Burress,-1.220,-2.030
2,13:42,4,14,NYG 20,0,0,"Jeff Feagles punts 36 yards, fair catch by Allen Rossum",-2.030,-1.860
2,13:35,1,10,ATL 44,0,0,Warrick Dunn right tackle for 1 yard (tackle by Michael Strahan),1.860,1.450
2,12:59,2,9,ATL 45,0,0,Warrick Dunn left tackle for -1 yards (tackle by Osi Umenyiora),1.450,0.630
2,12:19,3,10,ATL 44,0,0,Michael Vick pass complete short right to Jerious Norwood for 2 yards (tackle by R.W. McQuarters),0.630,-0.320
2,11:47,4,8,ATL 46,0,0,"Michael Koenen punts 42 yards, fair catch by Chad Morton",-0.320,0.350
2,11:38,1,10,NYG 12,0,0,Eli Manning pass complete short left to Tiki Barber for 18 yards (tackle by DeAngelo Hall),-0.350,0.940
2,10:54,1,10,NYG 30,0,0,Tiki Barber left end for 16 yards (tackle by Lawyer Milloy),0.940,1.990
2,10:22,1,10,NYG 46,0,0,Michael Jennings for 21 yards (tackle by Chris Crocker),1.990,3.380
