Unnamed: 0,CHI,CAR
First Downs,17,22
Rush-Yds-TDs,22-85-1,26-91-1
Cmp-Att-Yd-TD-INT,28-36-289-2-2,19-35-255-2-1
Sacked-Yards,4-27,2-24
Net Pass Yards,262,231
Total Yards,347,322
Fumbles-Lost,3-2,3-2
Turnovers,4,3
Penalties-Yards,10-79,3-30
Third Down Conv.,5-13,5-12
Fourth Down Conv.,0-1,0-0
Time of Possession,32:59,27:01
