Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
3,11:16,1,10,CAR 14,21,14,Cam Newton pass complete short right to Greg Olsen for 15 yards (tackle by Tim Jennings and Danny McCray),-0.280,0.870
3,10:47,1,10,CAR 29,21,14,Darrin Reaves left guard for 9 yards (tackle by Will Sutton and Ryan Mundy),0.870,1.540
3,10:12,2,1,CAR 38,21,14,Darrin Reaves left guard for 3 yards (tackle by Jared Allen and D.J. Williams),1.540,1.660
3,9:42,1,10,CAR 41,21,14,Cam Newton pass incomplete deep right intended for Kelvin Benjamin,1.660,1.120
3,9:36,2,10,CAR 41,21,14,Cam Newton pass complete short middle to Brenton Bersin for 21 yards (tackle by Danny McCray and Isaiah Frey),1.120,3.050
3,9:02,1,10,CHI 38,21,14,Cam Newton pass incomplete short right intended for Jason Avant (defended by Tim Jennings),3.050,2.510
3,8:58,2,10,CHI 38,21,14,Cam Newton pass complete short right to Darrin Reaves for 16 yards (tackle by Isaiah Frey),2.510,4.110
3,8:19,1,10,CHI 22,21,14,Darrin Reaves left tackle for 9 yards (tackle by Ryan Mundy and Isaiah Frey),4.110,5.060
3,7:47,2,1,CHI 13,21,14,"Darrin Reaves up the middle for -1 yards (tackle by Lance Briggs and Christian Jones). Penalty on Christian Jones: Face Mask (15 Yards), 6 yards (no play)",5.060,5.600
3,7:25,1,7,CHI 7,21,14,"Cam Newton pass incomplete short left intended for Kelvin Benjamin. Penalty on Kyle Fuller: Defensive Pass Interference, 6 yards (no play)",5.600,6.970
3,7:21,1,1,CHI 1,21,20,"Chris Ogbonnaya up the middle for 1 yard, touchdown",6.970,7.000
3,7:21,,,CHI 2,21,21,Graham Gano kicks extra point good,0.000,0.000
3,7:21,,,CAR 35,21,21,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
3,7:16,1,10,CHI 20,21,21,Jay Cutler pass complete short middle to Martellus Bennett for 5 yards (tackle by Luke Kuechly),0.280,0.410
3,6:37,2,5,CHI 25,21,21,"Matt Forte right end for 15 yards (tackle by Luke Kuechly). Penalty on Brandon Marshall: Unnecessary Roughness, 15 yards",0.410,0.410
3,6:04,2,5,CHI 25,21,21,"Jay Cutler pass complete short right to Brandon Marshall for 13 yards (tackle by Antoine Cason and Luke Kuechly). Penalty on Kawann Short: Roughing the Passer, 15 yards",0.410,2.460
3,5:42,1,10,CAR 47,21,21,Jay Cutler pass complete short middle to Brandon Marshall for 13 yards (tackle by Luke Kuechly),2.460,3.310
3,5:03,1,10,CAR 34,21,21,Matt Forte right tackle for 9 yards (tackle by Thomas Davis and Luke Kuechly),3.310,3.990
3,4:22,2,1,CAR 25,21,21,"Penalty on Dante Rosario: False Start, 5 yards (no play)",3.990,3.310
3,4:02,2,6,CAR 30,21,21,Jay Cutler pass complete short right to Matt Forte for 4 yards (tackle by Thomas Davis),3.310,3.140
3,3:22,3,2,CAR 26,21,21,Matt Forte left end for -1 yards (tackle by Thomas Davis),3.140,1.770
3,2:42,4,3,CAR 27,24,21,Robbie Gould 45 yard field goal good,1.770,3.000
3,2:42,,,CHI 35,24,21,"Robbie Gould kicks off 64 yards, returned by Philly Brown for 18 yards (tackle by Cornelius Washington)",0.000,-0.150
3,2:31,1,10,CAR 19,24,21,Cam Newton pass complete deep left to Jerricho Cotchery for 22 yards (tackle by Danny McCray),0.150,1.660
3,1:58,1,10,CAR 41,24,21,Cam Newton pass complete short middle to Greg Olsen for 19 yards (tackle by Danny McCray),1.660,2.920
3,1:16,1,10,CHI 40,24,21,Cam Newton right end for 2 yards (tackle by Will Sutton),2.920,2.640
3,1:08,2,8,CHI 38,24,21,Darrin Reaves up the middle for 3 yards (tackle by Will Sutton and Willie Young),2.640,2.340
3,0:23,3,5,CHI 35,24,21,Cam Newton sacked by Stephen Paea for -8 yards,2.340,0.400
Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,13,CHI 43,24,21,"Brad Nortman punts 32 yards, fair catch by Santonio Holmes",0.400,0.370
4,14:53,1,10,CHI 11,24,21,Matt Forte left guard for 1 yard (tackle by Dwan Edwards),-0.370,-0.710
4,14:16,2,9,CHI 12,24,21,"Penalty on Kyle Long: False Start, 5 yards (no play)",-0.710,-1.070
4,13:54,2,14,CHI 7,24,21,Jay Cutler pass complete short left to Dante Rosario for 4 yards (tackle by Thomas Davis),-1.070,-1.420
4,13:31,3,10,CHI 11,24,21,Jay Cutler pass complete short left to Matt Forte for 3 yards (tackle by Luke Kuechly),-1.420,-2.470
4,12:49,4,7,CHI 14,24,21,"Pat O'Donnell punts 47 yards, fair catch by Philly Brown",-2.470,-1.530
4,12:40,1,10,CAR 39,24,21,Chris Ogbonnaya up the middle for 4 yards (tackle by Jared Allen and Willie Young),1.530,1.530
4,12:11,2,6,CAR 43,24,21,Chris Ogbonnaya right end for 4 yards (tackle by Tim Jennings),1.530,1.360
4,11:28,3,2,CAR 47,24,21,Cam Newton pass incomplete deep left intended for Kelvin Benjamin,1.360,-0.260
4,11:23,4,2,CAR 47,24,21,"Brad Nortman punts 53 yards, touchback",-0.260,-0.280
4,11:17,1,10,CHI 20,24,21,Jay Cutler pass complete short left to Alshon Jeffery for 6 yards (tackle by Melvin White),0.280,0.540
4,10:50,2,4,CHI 26,24,21,Jay Cutler pass complete short right to Alshon Jeffery for 8 yards (tackle by Charles Godfrey),0.540,1.200
4,10:10,1,10,CHI 34,24,21,Matt Forte up the middle for 1 yard (tackle by Luke Kuechly and Thomas Davis),1.200,0.790
4,9:28,2,9,CHI 35,24,21,Jay Cutler pass incomplete short left intended for Alshon Jeffery,0.790,0.100
4,9:24,3,9,CHI 35,24,21,Jay Cutler sacked by Charles Johnson for -6 yards,0.100,-1.440
4,8:51,4,15,CHI 29,24,21,"Pat O'Donnell punts 56 yards, returned by Philly Brown for 3 yards (tackle by Khaseem Greene)",-1.440,-0.040
4,8:39,1,10,CAR 18,24,21,Cam Newton right end for 3 yards (tackle by Lamarr Houston),0.040,0.010
4,8:03,2,7,CAR 21,24,21,"Cam Newton pass complete short left to Greg Olsen for 14 yards (tackle by D.J. Williams). Penalty on Byron Bell: Illegal Use of Hands, 10 yards (no play)",0.010,-1.290
4,7:30,2,17,CAR 11,24,21,Cam Newton pass incomplete short middle intended for Greg Olsen,-1.290,-2.240
4,7:26,3,17,CAR 11,24,21,Cam Newton pass complete short middle to Philly Brown for 4 yards (tackle by D.J. Williams),-2.240,-2.440
4,6:53,4,13,CAR 15,24,21,"Brad Nortman punts 38 yards, out of bounds",-2.440,-2.060
4,6:44,1,10,CHI 47,24,21,Matt Forte left end for -1 yards (tackle by Luke Kuechly and Thomas DeCoud),2.060,1.380
4,6:08,2,11,CHI 46,24,21,Jay Cutler pass incomplete deep middle intended for Santonio Holmes is intercepted by Thomas DeCoud at CAR-33 and returned for 35 yards,1.380,-3.450
4,5:56,1,10,CHI 32,24,21,Chris Ogbonnaya up the middle for 3 yards (tackle by Lance Briggs and Jared Allen),3.450,3.310
4,5:17,2,7,CHI 29,24,21,Cam Newton up the middle for 3 yards (tackle by Jared Allen and Ego Ferguson),3.310,3.010
4,4:37,3,4,CHI 26,24,21,Cam Newton pass incomplete short right intended for Kelvin Benjamin,3.010,1.810
4,4:33,4,4,CHI 26,24,24,Graham Gano 44 yard field goal good,1.810,3.000
4,4:33,,,CAR 35,24,24,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
4,4:29,1,10,CHI 20,24,24,"Matt Forte right end for 3 yards (tackle by Antoine Cason). Matt Forte fumbles (forced by Antoine Cason), recovered by Kawann Short at CHI-23 (tackle by Martellus Bennett)",0.280,-4.040
4,4:18,1,10,CHI 23,24,24,Darrin Reaves left tackle for 4 yards (tackle by D.J. Williams),4.040,4.050
4,3:34,2,6,CHI 19,24,24,Darrin Reaves right tackle for 3 yards (tackle by D.J. Williams and Willie Young),4.050,3.850
4,2:39,3,3,CHI 16,24,24,Cam Newton pass complete short right to Greg Olsen for 11 yards (tackle by Tim Jennings),3.850,6.060
4,2:34,1,5,CHI 5,24,24,Darrin Reaves up the middle for -1 yards (tackle by Jared Allen and Stephen Paea),6.060,6.060
4,2:28,1,5,CHI 5,24,24,Timeout #1 by Chicago Bears,6.060,4.950
4,2:28,2,6,CHI 6,24,24,Cam Newton pass incomplete short left intended for Kelvin Benjamin,4.950,4.040
4,2:23,3,6,CHI 6,24,30,"Cam Newton pass complete short middle to Greg Olsen for 6 yards, touchdown",4.040,7.000
4,2:23,,,CHI 2,24,31,Graham Gano kicks extra point good,0.000,0.000
4,2:23,,,CAR 35,24,31,"Graham Gano kicks off 71 yards, returned by Chris Williams for 21 yards (tackle by Chase Blackburn)",0.000,0.220
4,2:13,1,10,CHI 15,24,31,Jay Cutler pass complete short middle to Alshon Jeffery for 20 yards (tackle by Melvin White),-0.220,1.270
4,2:00,1,10,CHI 35,24,31,Jay Cutler pass complete short middle to Matt Forte for 4 yards (tackle by Luke Kuechly),1.270,1.260
4,1:39,2,6,CHI 39,24,31,Jay Cutler pass complete short right to Santonio Holmes for 6 yards (tackle by Charles Godfrey),1.260,1.930
4,1:33,1,10,CHI 45,24,31,Jay Cutler pass incomplete short middle intended for Brandon Marshall (defended by Antoine Cason),1.930,1.380
4,1:29,2,10,CHI 45,24,31,Jay Cutler sacked by Mario Addison and Dwan Edwards for -11 yards,1.380,1.380
4,1:19,2,10,CHI 45,24,31,Timeout #2 by Chicago Bears,1.380,-0.760
4,1:19,3,21,CHI 34,24,31,Jay Cutler pass incomplete deep left intended for Santonio Holmes (defended by Melvin White),-0.760,-1.110
4,1:14,4,21,CHI 34,24,31,"Jay Cutler sacked by Kawann Short for -8 yards. Jay Cutler fumbles (forced by Kawann Short), recovered by Charles Johnson at CHI-28 (tackle by Matt Slauson)",-1.110,-3.710
4,1:06,1,10,CHI 28,24,31,Cam Newton kneels for -1 yards,3.710,3.030
4,0:37,2,11,CHI 29,24,31,Cam Newton kneels for -1 yards,3.030,2.210
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
