Quarter,Time,Tm,Detail,CHI,CAR
1.0,10:56,Panthers,Corey Brown 79 yard punt return (Graham Gano kick),0,7
,4:31,Bears,Matt Forte 10 yard pass from Jay Cutler (Robbie Gould kick),7,7
,2:13,Bears,Jay Cutler 10 yard rush (Robbie Gould kick),14,7
2.0,10:51,Bears,Alshon Jeffery 25 yard pass from Jay Cutler (Robbie Gould kick),21,7
,0:12,Panthers,Greg Olsen 9 yard pass from Cam Newton (Graham Gano kick),21,14
3.0,7:16,Panthers,Chris Ogbonnaya 1 yard rush (Graham Gano kick),21,21
,2:38,Bears,Robbie Gould 45 yard field goal,24,21
4.0,4:29,Panthers,Graham Gano 44 yard field goal,24,24
,2:18,Panthers,Greg Olsen 6 yard pass from Cam Newton (Graham Gano kick),24,31
