Unnamed: 0,BAL,CLE
First Downs,17,19
Rush-Yds-TDs,28-198-0,33-143-0
Cmp-Att-Yd-TD-INT,17-30-138-0-1,18-28-161-1-0
Sacked-Yards,3-12,3-21
Net Pass Yards,126,140
Total Yards,324,283
Fumbles-Lost,4-1,0-0
Turnovers,2,0
Penalties-Yards,3-25,3-32
Third Down Conv.,5-12,5-15
Fourth Down Conv.,0-3,2-2
Time of Possession,26:52,33:08
