Quarter,Time,Tm,Detail,OAK,HOU
1.0,3:09,Texans,Kris Brown 46 yard field goal,0,3
,0:42,Raiders,Sebastian Janikowski 50 yard field goal,3,3
2.0,11:41,Texans,Jamie Sharper 16 yard defensive fumble return (Kris Brown kick),3,10
,7:02,Raiders,Amos Zereoue 55 yard rush (Sebastian Janikowski kick),10,10
,3:25,Texans,Jonathan Wells 1 yard rush (Kris Brown kick),10,17
,0:47,Raiders,Amos Zereoue 3 yard rush (Sebastian Janikowski kick),17,17
3.0,3:03,Texans,Kris Brown 21 yard field goal,17,20
4.0,14:48,Texans,Andre Johnson 15 yard pass from David Carr (Kris Brown kick),17,27
,3:19,Texans,Kris Brown 44 yard field goal,17,30
