Unnamed: 0,DET,ATL
First Downs,15,17
Rush-Yds-TDs,33-101-1,27-94-1
Cmp-Att-Yd-TD-INT,16-24-146-1-0,20-31-220-0-1
Sacked-Yards,3-20,6-35
Net Pass Yards,126,185
Total Yards,227,279
Fumbles-Lost,0-0,4-3
Turnovers,0,4
Penalties-Yards,12-80,8-74
Third Down Conv.,3-13,3-14
Fourth Down Conv.,1-1,2-3
Time of Possession,32:55,27:05
