Quarter,Time,Tm,Detail,MIA,MIN
1.0,11:43,Dolphins,Chris Chambers 59 yard pass from Jay Fiedler (Olindo Mare kick),7,0
2.0,4:21,Vikings,Gary Anderson 35 yard field goal,7,3
3.0,7:45,Vikings,Moe Williams 3 yard rush (Gary Anderson kick),7,10
,1:19,Dolphins,Jed Weaver 3 yard pass from Jay Fiedler (Olindo Mare kick),14,10
4.0,11:53,Vikings,D'Wayne Bates 13 yard pass from Randy Moss (Gary Anderson kick),14,17
,6:09,Dolphins,Olindo Mare 25 yard field goal,17,17
,0:17,Vikings,Gary Anderson 53 yard field goal,17,20
