Unnamed: 0,MIA,MIN
First Downs,13,21
Rush-Yds-TDs,17-69-0,32-129-1
Cmp-Att-Yd-TD-INT,15-21-177-2-1,21-30-257-1-2
Sacked-Yards,1-7,4-18
Net Pass Yards,170,239
Total Yards,239,368
Fumbles-Lost,2-1,3-1
Turnovers,2,3
Penalties-Yards,8-65,7-54
Third Down Conv.,1-5,8-14
Fourth Down Conv.,0-0,1-1
Time of Possession,24:06,35:54
