Player,Pos
Jay Fiedler,QB
Ricky Williams,HB
James McKnight,WR
Chris Chambers,WR
Randy McMichael,TE
Rob Konrad,TE
Mark Dixon,LT
Seth McKinney,LG
Tim Ruddy,C
Todd Perry,RG
Todd Wade,RT
Adewale Ogunleye,LDE
Tim Bowens,LDT
Larry Chester,RDT
Jason Taylor,RDE
Morlon Greenwood,SLB
Zach Thomas,MLB
Derrick Rodgers,WLB
Patrick Surtain,LCB
Sam Madison,RCB
Arturo Freeman,SS
Brock Marion,FS
