Quarter,Time,Down,ToGo,Location,MIA,MIN,Detail,EPB,EPA
1,4:47,3,16,MIA 25,7,0,"Penalty on Seth McKinney: False Start, 5 yards (no play)",-1.020,-1.680
1,4:24,3,21,MIA 20,7,0,Ricky Williams right tackle for 7 yards (tackle by Greg Biekert),-1.680,-1.570
1,3:49,4,14,MIA 27,7,0,"Mark Royals punts 42 yards, returned by Nick Davis for 8 yards (tackle by Morlon Greenwood)",-1.570,-1.530
1,3:37,1,10,MIN 39,7,0,Daunte Culpepper pass complete to Randy Moss for 8 yards (tackle by Zach Thomas),1.530,2.070
1,2:57,2,2,MIN 47,7,0,Daunte Culpepper pass incomplete intended for Randy Moss,2.070,1.360
1,2:50,2,2,MIN 47,,,Timeout #1 by Minnesota Vikings,2.070,1.360
1,2:50,3,2,MIN 47,7,0,Jim Kleinsasser middle for 3 yards (tackle by Larry Chester and Jermaine Haley),1.360,2.260
1,2:09,1,10,,7,0,Michael Bennett middle for 3 yards (tackle by Tim Bowens),2.260,2.120
1,1:33,2,7,MIA 47,7,0,Michael Bennett left tackle for 1 yard (tackle by Jason Taylor),2.120,1.550
1,0:52,3,6,MIA 46,7,0,"Daunte Culpepper sacked by Jason Taylor for -9 yards. Daunte Culpepper fumbles (forced by Jason Taylor), recovered by Randy Moss at MIA-47",1.550,0.130
1,0:07,4,7,MIA 47,7,0,Kyle Richardson punts 45 yards,0.130,0.380
Quarter,Time,Down,ToGo,Location,MIA,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 2,7,0,Ricky Williams middle for 1 yard (tackle by Chris Hovan),-0.380,-0.710
2,14:21,2,9,MIA 3,7,0,Jay Fiedler pass complete to Ricky Williams for 6 yards (tackle by Henri Crockett),-0.710,-0.600
2,13:35,3,3,MIA 9,7,0,Jay Fiedler pass incomplete intended for Dedric Ward,-0.600,-2.490
2,13:31,4,3,MIA 9,7,0,"Mark Royals punts 44 yards, returned by Nick Davis for 5 yards (tackle by Morlon Greenwood)",-2.490,-2.390
2,13:21,1,10,MIA 48,7,0,"Daunte Culpepper pass incomplete intended for D'Wayne Bates. Penalty on Jason Taylor: Defensive Offside, 5 yards (no play)",2.390,3.120
2,13:13,1,5,MIA 43,7,0,Michael Bennett right end for 1 yard (tackle by Zach Thomas and Rob Burnett),3.120,2.660
2,12:43,2,4,MIA 42,7,0,Daunte Culpepper pass complete to D'Wayne Bates for 11 yards (tackle by Sam Madison),2.660,3.510
2,11:59,1,10,MIA 31,7,0,Michael Bennett left guard for -3 yards (tackle by Larry Chester),3.510,2.560
2,11:19,2,13,MIA 34,7,0,Daunte Culpepper pass complete to Randy Moss for 4 yards (tackle by Brock Marion),2.560,2.410
2,10:38,3,9,MIA 30,7,0,"Daunte Culpepper sacked by Jay Williams and Rob Burnett for -4 yards. Daunte Culpepper fumbles (forced by Jay Williams), recovered by Jason Taylor at MIA-31",2.410,-1.000
2,10:28,1,10,MIA 31,7,0,Jay Fiedler pass incomplete intended for Chris Chambers is intercepted by Jack Brewer at MIN-24 and returned for 1 yard,1.000,-0.610
2,10:16,1,10,MIN 25,7,0,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Patrick Surtain),0.610,0.060
2,10:11,2,10,MIN 25,7,0,Daunte Culpepper pass complete to Jim Kleinsasser for 24 yards (tackle by Arturo Freeman),0.060,2.190
2,9:23,1,10,MIN 49,7,0,Michael Bennett left end for 6 yards (tackle by Larry Chester),2.190,2.460
2,8:40,2,4,MIA 45,7,0,Daunte Culpepper pass complete to Michael Bennett for 7 yards (tackle by Patrick Surtain and Zach Thomas),2.460,3.050
2,8:01,1,10,MIA 38,7,0,Michael Bennett middle for 1 yard (tackle by Derrick Rodgers and Tim Bowens),3.050,2.640
2,7:22,2,9,MIA 37,7,0,Daunte Culpepper pass complete to D'Wayne Bates for 13 yards (tackle by Brock Marion),2.640,3.970
2,6:40,1,10,MIA 24,7,0,Daunte Culpepper pass incomplete intended for Randy Moss,3.970,3.430
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
2,6:33,2,10,MIA 24,7,0,"Penalty on Jason Taylor: Neutral Zone Infraction, 5 yards (no play)",3.430,4.120
2,6:33,2,5,MIA 19,7,0,Daunte Culpepper middle for 10 yards (tackle by Brock Marion and Jason Taylor),4.120,5.140
2,5:50,1,9,MIA 9,7,0,"Daunte Culpepper left end for 1 yard. Daunte Culpepper fumbles, recovered by Michael Bennett at MIA-10",5.140,4.190
2,4:53,2,10,MIA 10,7,0,Daunte Culpepper pass incomplete intended for Randy Moss,4.190,3.130
2,4:52,3,10,MIA 10,7,0,Daunte Culpepper sacked by Adewale Ogunleye for -7 yards,3.130,2.310
2,4:35,4,17,MIA 17,7,3,Gary Anderson 35 yard field goal good,2.310,3.000
2,4:35,,,MIN 30,7,3,"Hayden Epstein kicks off 72 yards, returned by Travis Minor for 23 yards (tackle by Harold Morrow)",0.000,-0.340
2,4:15,1,10,MIA 21,7,3,"Ricky Williams right guard for no gain (tackle by Henri Crockett and Nick Rogers). Penalty on Eric Kelly: Defensive Offside, 5 yards (no play)",0.340,1.070
2,3:53,1,5,MIA 26,7,3,Ricky Williams middle for 8 yards (tackle by Corey Chavous),1.070,1.200
2,3:13,1,10,MIA 34,7,3,Jay Fiedler pass incomplete intended for Chris Chambers,1.200,0.660
2,3:09,2,10,MIA 34,7,3,"Jay Fiedler pass complete to James McKnight for 1 yard (tackle by Nick Rogers). James McKnight fumbles (forced by Nick Rogers), recovered by Lance Johnstone at MIA-37 (tackle by Scott Galyon)",0.660,-3.120
2,2:55,1,10,MIA 37,7,3,Daunte Culpepper pass complete to Randy Moss for 12 yards,3.120,3.910
2,2:28,1,10,MIA 25,7,3,Michael Bennett left tackle for 14 yards (tackle by Arturo Freeman),3.910,4.840
2,2:00,1,10,MIA 11,7,3,"Jim Kleinsasser middle for 5 yards (tackle by Jermaine Haley). Penalty on Corbin Lacina: Personal Foul, 15 yards (no play)",4.840,3.840
2,1:54,1,25,MIA 26,7,3,Daunte Culpepper middle for 2 yards (tackle by Jermaine Haley and Jason Taylor),3.840,2.530
2,1:13,2,23,MIA 24,7,3,Daunte Culpepper middle for -2 yards (tackle by Tim Bowens),2.530,1.620
2,0:27,2,23,MIA 24,,,Timeout #3 by Minnesota Vikings,2.530,1.620
2,0:27,3,25,MIA 26,7,3,"Penalty on Randy Moss: False Start, 5 yards (no play)",1.620,0.960
2,0:27,3,30,MIA 31,7,3,Daunte Culpepper pass incomplete intended for Randy Moss is intercepted by Brock Marion at MIA--8,0.960,-0.280
2,0:21,1,10,MIA 20,7,3,Jay Fiedler for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,MIA,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,7,3,"Olindo Mare kicks off 61 yards, returned by Moe Williams for 13 yards (tackle by David Bowens)",0.000,0.410
3,14:54,1,10,MIN 22,7,3,Michael Bennett right guard for 5 yards (tackle by Patrick Surtain),0.410,0.540
3,14:15,2,5,MIN 27,7,3,Daunte Culpepper pass complete to Randy Moss for 12 yards (tackle by Derrick Rodgers),0.540,1.530
3,13:35,1,10,MIN 39,7,3,Michael Bennett right tackle for 6 yards (tackle by Arturo Freeman and Zach Thomas),1.530,1.800
3,12:57,2,4,MIN 45,7,3,Daunte Culpepper pass complete to Michael Bennett for 8 yards (tackle by Derrick Rodgers and Larry Chester),1.800,2.460
3,12:18,1,10,MIA 47,7,3,Daunte Culpepper pass incomplete intended for Michael Bennett,2.460,1.910
3,12:14,2,10,MIA 47,7,3,Jim Kleinsasser middle for 3 yards (tackle by Tim Bowens),1.910,1.620
3,11:32,3,7,MIA 44,7,3,Daunte Culpepper pass complete to D'Wayne Bates for 20 yards (tackle by Brock Marion),1.620,3.970
3,10:46,1,10,MIA 24,7,3,Daunte Culpepper pass complete to Byron Chamberlain for 7 yards (tackle by Zach Thomas),3.970,4.460
3,10:02,2,3,MIA 17,7,3,Daunte Culpepper pass incomplete intended for Randy Moss,4.460,3.750
3,9:58,3,3,MIA 17,7,3,Daunte Culpepper pass complete to D'Wayne Bates for 5 yards (tackle by Arturo Freeman),3.750,4.780
3,9:16,1,10,MIA 12,7,3,Daunte Culpepper left end for 7 yards (tackle by Sam Madison),4.780,5.410
3,8:28,2,3,MIA 5,7,3,Michael Bennett right end for 2 yards (tackle by Brock Marion and Morlon Greenwood),5.410,5.060
3,7:49,3,1,MIA 3,7,9,"Moe Williams left tackle for 3 yards, touchdown",5.060,7.000
3,7:49,3,1,MIA 3,7,10,"Penalty on Hunter Goodwin: Unsportsmanlike Conduct, 15 yards",5.060,0.000
3,7:49,,,MIA 3,7,10,Gary Anderson kicks extra point good,0.000,0.000
3,7:49,,,MIN 15,7,10,"Hayden Epstein kicks off 59 yards, returned by Travis Minor for 28 yards (tackle by Eric Kelly). Penalty on MIA: Offensive Holding, 10 yards",0.000,-1.860
3,7:37,1,10,MIA 44,7,10,Ricky Williams middle for 17 yards (tackle by Jack Brewer),1.860,2.980
3,7:03,1,10,MIN 39,7,10,"Jay Fiedler for no gain. Jay Fiedler fumbles, recovered by Jay Fiedler at MIN-39 for 3 yards",2.980,2.850
3,6:22,2,7,MIN 36,7,10,Jay Fiedler pass complete to James McKnight for 12 yards (tackle by Eric Kelly),2.850,3.970
3,5:44,1,10,MIN 24,7,10,"Ricky Williams right end for 7 yards (tackle by Eric Kelly). Penalty on Todd Wade: Offensive Holding, 10 yards (no play)",3.970,3.310
3,5:18,1,20,MIN 34,7,10,Jay Fiedler pass complete to James McKnight for 14 yards (tackle by Eric Kelly),3.310,3.970
3,4:37,2,6,MIN 20,7,10,Jay Fiedler pass complete to James McKnight for 9 yards (tackle by Brian Williams),3.970,4.840
3,3:59,1,10,MIN 11,7,10,Ricky Williams right tackle for 2 yards (tackle by Jack Brewer),4.840,4.510
3,3:18,2,8,MIN 9,7,10,Jay Fiedler sacked by Lorenzo Bromell and Kenny Mixon for -7 yards,4.510,2.890
3,2:43,3,15,MIN 16,7,10,"Jay Fiedler pass complete to Ricky Williams for 9 yards (tackle by Corey Chavous). Penalty on Greg Biekert: Unnecessary Roughness, 4 yards",2.890,6.510
3,2:09,1,3,MIN 3,7,10,Ricky Williams middle for no gain (tackle by Lance Johnstone and Kenny Mixon),6.510,5.530
3,1:27,2,3,MIN 3,13,10,"Jay Fiedler pass complete to Jed Weaver for 3 yards, touchdown",5.530,7.000
3,1:27,,,MIN 3,14,10,Olindo Mare kicks extra point good,0.000,0.000
3,1:27,,,MIA 30,14,10,"Olindo Mare kicks off 75 yards, touchback",0.000,0.280
3,1:19,1,10,MIN 20,14,10,Daunte Culpepper for 2 yards,0.280,0.000
3,0:50,2,8,MIN 22,14,10,Michael Bennett left tackle for 3 yards (tackle by Zach Thomas and Adewale Ogunleye),0.000,-0.300
3,0:03,3,5,MIN 25,14,10,Daunte Culpepper pass complete to D'Wayne Bates for 9 yards (tackle by Sam Madison),-0.300,1.200
Quarter,Time,Down,ToGo,Location,MIA,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 34,14,10,Daunte Culpepper pass incomplete intended for Jim Kleinsasser (defended by Adewale Ogunleye),1.200,0.660
4,14:57,2,10,MIN 34,14,10,Daunte Culpepper pass complete to Jim Kleinsasser for -4 yards (tackle by Morlon Greenwood),0.660,-0.560
4,14:12,3,14,MIN 30,14,10,Daunte Culpepper pass complete to Randy Moss for 60 yards (tackle by Shawn Wooden),-0.560,4.910
4,13:18,1,10,MIA 10,14,10,Michael Bennett left end for 3 yards (tackle by Patrick Surtain and Morlon Greenwood),4.910,4.760
4,12:37,2,7,MIA 7,14,10,Daunte Culpepper sacked by Adewale Ogunleye and Jason Taylor for -6 yards,4.760,3.060
4,12:00,3,13,MIA 13,14,16,"Randy Moss pass complete to D'Wayne Bates for 13 yards, touchdown",3.060,7.000
4,12:00,,,MIA 13,14,17,Gary Anderson kicks extra point good,0.000,0.000
4,12:00,,,MIN 30,14,17,"Hayden Epstein kicks off 67 yards, returned by Travis Minor for 45 yards (tackle by Hayden Epstein)",0.000,-2.130
4,11:41,1,10,MIA 48,14,17,Jay Fiedler pass complete to Randy McMichael for 13 yards (tackle by Nick Rogers),2.130,2.980
4,11:19,1,10,MIN 39,14,17,Ricky Williams middle for 2 yards (tackle by Kenny Mixon),2.980,2.710
4,10:42,2,8,MIN 37,14,17,Jay Fiedler pass complete to Ricky Williams for 1 yard (tackle by Brian Williams and Henri Crockett),2.710,2.150
4,10:01,2,8,MIN 37,,,Timeout #1 by Miami Dolphins,2.710,2.150
4,10:01,3,7,MIN 36,14,17,Jay Fiedler pass complete to Cris Carter for 15 yards (tackle by Tyrone Carter),2.150,4.170
4,9:18,1,10,MIN 21,14,17,Ricky Williams middle for -4 yards (tackle by Chris Hovan),4.170,3.090
4,8:36,2,14,MIN 25,14,17,Jay Fiedler pass complete to Rob Konrad for 13 yards (tackle by Eric Kelly),3.090,4.490
4,7:49,3,1,MIN 12,14,17,"Jay Fiedler pass incomplete intended for Chris Chambers. Penalty on Eric Kelly: Illegal Contact, 5 yards (no play)",4.490,5.600
4,7:44,1,7,MIN 7,14,17,Jay Fiedler pass complete to Rob Konrad for 2 yards (tackle by Eric Kelly),5.600,5.150
4,7:02,2,5,MIN 5,14,17,Ricky Williams middle for -2 yards (tackle by Chris Hovan),5.150,3.810
4,6:17,2,5,MIN 5,,,Timeout #2 by Miami Dolphins,5.150,3.810
4,6:17,3,7,MIN 7,14,17,Jay Fiedler pass incomplete intended for Cris Carter (defended by Greg Biekert),3.810,2.970
4,6:12,4,7,MIN 7,17,17,Olindo Mare 25 yard field goal good,2.970,3.000
4,6:12,,,MIA 30,17,17,"Olindo Mare kicks off 71 yards, returned by Tyrone Carter for 21 yards (tackle by Tommy Hendricks)",0.000,0.280
4,6:04,1,10,MIN 20,17,17,Daunte Culpepper pass complete to Byron Chamberlain for 13 yards (tackle by Brock Marion and Morlon Greenwood),0.280,1.140
4,5:23,1,10,MIN 33,17,17,Michael Bennett middle for no gain (tackle by Jason Taylor),1.140,0.590
4,4:45,2,10,MIN 33,17,17,Daunte Culpepper pass complete to D'Wayne Bates for 8 yards (tackle by Brock Marion),0.590,0.960
4,4:07,3,2,MIN 41,17,17,Daunte Culpepper for 6 yards,0.960,2.060
4,4:00,1,10,MIN 47,17,17,Michael Bennett middle for no gain (tackle by Morlon Greenwood and Jermaine Haley),2.060,1.520
4,3:21,2,10,MIN 47,17,17,"Penalty on Jim Kleinsasser: False Start, 5 yards (no play)",1.520,0.840
4,3:18,2,10,MIN 47,,,Timeout #1 by Minnesota Vikings,1.520,0.840
4,3:18,2,15,MIN 42,17,17,Daunte Culpepper pass complete to Byron Chamberlain for 13 yards (tackle by Morlon Greenwood),0.840,1.880
4,2:42,3,2,MIA 45,17,17,Daunte Culpepper right end for no gain (tackle by Arturo Freeman and Adewale Ogunleye),1.880,0.270
4,2:07,3,2,MIA 45,,,Timeout #2 by Minnesota Vikings,1.880,0.270
4,2:07,4,2,MIA 45,17,17,Daunte Culpepper middle for 3 yards (tackle by Zach Thomas and Derrick Rodgers),0.270,2.790
4,2:00,1,10,MIA 42,17,17,Daunte Culpepper pass complete to Randy Moss for 5 yards (tackle by Arturo Freeman),2.790,2.920
4,1:27,2,5,MIA 37,17,17,Michael Bennett middle for 3 yards (tackle by Patrick Surtain and Brock Marion),2.920,2.610
4,1:04,2,5,MIA 37,,,Timeout #3 by Miami Dolphins,2.920,2.610
4,1:04,3,2,MIA 34,17,17,Moe Williams middle for -1 yards (tackle by Adewale Ogunleye),2.610,0.990
4,0:22,3,2,MIA 34,,,Timeout #3 by Minnesota Vikings,2.610,0.990
4,0:22,4,3,MIA 35,17,20,Gary Anderson 53 yard field goal good,0.990,3.000
4,0:22,,,MIN 30,17,20,"Gary Anderson kicks off 53 yards, returned by Travis Minor for 15 yards (tackle by Moe Williams)",0.000,1.070
4,0:10,1,10,MIA 32,17,20,Jay Fiedler pass incomplete intended for Dedric Ward,1.070,0.530
4,0:03,2,10,MIA 32,17,20,Jay Fiedler pass incomplete intended for James McKnight,0.530,-0.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
