Unnamed: 0,NYJ,MIN
First Downs,19,19
Rush-Yds-TDs,42-168-0,28-114-0
Cmp-Att-Yd-TD-INT,18-29-254-1-1,19-27-309-2-1
Sacked-Yards,3-12,3-12
Net Pass Yards,242,297
Total Yards,410,411
Fumbles-Lost,4-1,2-1
Turnovers,2,2
Penalties-Yards,4-40,6-70
Third Down Conv.,8-17,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,35:52,28:47
