Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 61 yards, returned by Percy Harvin for 19 yards (tackle by Audie Cole)",0.000,-0.480
1,14:54,1,10,NYJ 23,0,6,"Geno Smith pass incomplete short left intended for Percy Harvin is intercepted by Gerald Hodges at NYJ-27 and returned for 27 yards, touchdown",0.480,-7.000
1,14:48,,,NYJ 2,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,14:48,,,MIN 35,0,7,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,14:48,1,10,NYJ 20,0,7,Chris Ivory up the middle for 2 yards (tackle by Chad Greenway),0.280,0.000
1,14:13,2,8,NYJ 22,0,7,Chris Ivory right end for 1 yard (tackle by Captain Munnerlyn),0.000,-0.560
1,13:56,3,7,NYJ 23,0,7,Geno Smith pass complete deep left to Percy Harvin for 45 yards (tackle by Josh Robinson),-0.560,3.450
1,12:58,1,10,MIN 32,0,7,Geno Smith sacked by Brian Robison for 0 yards,3.450,2.900
1,12:27,2,10,MIN 32,0,7,"Geno Smith pass complete short left to Jeremy Kerley for no gain. Nick Mangold fumbles, recovered by Nick Mangold at NYJ-MIN",2.900,2.210
1,11:41,3,10,MIN 32,0,7,Geno Smith sacked by Harrison Smith for -12 yards,2.210,0.330
1,11:05,4,22,MIN 44,0,7,"Ryan Quigley punts 33 yards, fair catch by Marcus Sherels",0.330,0.370
1,10:57,1,10,MIN 11,0,7,"Penalty on Joe Berger: False Start, 5 yards (no play)",-0.370,-0.570
1,10:57,1,15,MIN 6,0,7,Matt Asiata up the middle for 2 yards (tackle by Sheldon Richardson),-0.570,-1.000
1,10:18,2,13,MIN 8,2,7,"Teddy Bridgewater sacked by Sheldon Richardson for -8 yards, safety",-1.000,-2.000
1,10:18,,,MIN 20,2,7,"Jeff Locke kicks off 50 yards, returned by John Conner for 5 yards (tackle by Andrew Sendejo)",0.000,-1.270
1,10:08,1,10,NYJ 35,2,7,Chris Ivory up the middle for 1 yard (tackle by Gerald Hodges),1.270,0.860
1,9:40,2,9,NYJ 36,2,7,Chris Ivory right end for 4 yards (tackle by Shamar Stephen and Gerald Hodges),0.860,0.700
1,9:01,3,5,NYJ 40,2,7,"Geno Smith pass incomplete deep left intended for Jeremy Kerley. Penalty on Captain Munnerlyn: Defensive Pass Interference, 21 yards (no play)",0.700,2.980
1,8:54,1,10,MIN 39,2,7,Chris Ivory up the middle for 4 yards (tackle by Shamar Stephen and Corey Wootton),2.980,2.980
1,8:26,2,6,MIN 35,2,7,Bilal Powell up the middle for no gain (tackle by Harrison Smith),2.980,2.280
1,7:41,3,6,MIN 35,8,7,"Geno Smith pass complete deep right to Percy Harvin for 35 yards, touchdown",2.280,7.000
1,7:41,,,MIN 2,9,7,Nick Folk kicks extra point good,0.000,0.000
1,7:41,,,NYJ 35,9,7,"Nick Folk kicks off 52 yards, returned by Marcus Sherels for 17 yards (tackle by Dawan Landry)",0.000,-0.940
1,7:28,1,10,MIN 30,9,7,Matt Asiata up the middle for 1 yard (tackle by Damon Harrison and Quinton Coples),0.940,0.530
1,7:01,2,9,MIN 31,9,7,Teddy Bridgewater pass complete short middle to Matt Asiata for 6 yards (tackle by Demario Davis),0.530,0.630
1,6:34,3,3,MIN 37,9,7,Teddy Bridgewater pass complete short left to Greg Jennings for 7 yards (tackle by Jaiquawn Jarrett),0.630,1.860
1,6:01,1,10,MIN 44,9,13,"Teddy Bridgewater pass complete deep right to Charles Johnson for 56 yards, touchdown. Penalty on Marcus Williams: Defensive Holding (Declined)",1.860,7.000
1,6:01,,,NYJ 2,9,14,"Blair Walsh kicks extra point good. Penalty on Matt Kalil: Unsportsmanlike Conduct, 15 yards",0.000,0.000
1,6:01,,,MIN 20,9,14,"Blair Walsh kicks off 65 yards, muffed catch by Percy Harvin, recovered by Percy Harvin at NYJ-18, and returned for 47 yards",0.000,-3.250
1,5:43,1,10,MIN 35,9,14,Chris Johnson up the middle for 2 yards (tackle by Corey Wootton),3.250,2.970
1,5:10,2,8,MIN 33,9,14,Geno Smith pass complete short right to Eric Decker for 8 yards (tackle by Chad Greenway),2.970,3.910
1,4:33,1,10,MIN 25,9,14,Chris Johnson right guard for 3 yards (tackle by Jasper Brinkley and Shamar Stephen),3.910,3.770
1,3:53,2,7,MIN 22,9,14,Chris Johnson up the middle for 5 yards (tackle by Corey Wootton),3.770,3.850
1,3:13,3,2,MIN 17,9,14,Percy Harvin right end for -1 yards (tackle by Harrison Smith and Chad Greenway),3.850,2.350
1,2:31,4,3,MIN 18,12,14,Nick Folk 36 yard field goal good,2.350,3.000
1,2:31,,,NYJ 35,12,14,"Nick Folk kicks off 35 yards, returned by Matt Asiata for 12 yards (tackle by Zach Sudfeld)",0.000,-1.730
1,2:22,1,10,MIN 42,12,14,Teddy Bridgewater pass complete short left to Jarius Wright for 4 yards (tackle by Marcus Williams),1.730,1.730
1,1:52,2,6,MIN 46,12,14,Matt Asiata left guard for 3 yards (tackle by Demario Davis),1.730,1.420
1,1:06,3,3,MIN 49,12,14,Teddy Bridgewater pass complete short middle to Greg Jennings for 7 yards (tackle by David Harris),1.420,2.650
1,0:30,1,10,NYJ 44,12,14,Matt Asiata up the middle for 8 yards (tackle by Leger Douzable and Sheldon Richardson),2.650,3.190
Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,NYJ 36,12,14,Matt Asiata left tackle for 7 yards (tackle by David Harris),3.190,3.640
2,14:27,1,10,NYJ 29,12,14,Cordarrelle Patterson right end for 6 yards (tackle by Jaiquawn Jarrett),3.640,3.910
2,13:44,2,4,NYJ 23,12,20,"Teddy Bridgewater pass complete deep middle to Charles Johnson for 22 yards (tackle by Jaiquawn Jarrett). Charles Johnson fumbles (forced by Jaiquawn Jarrett), recovered by Jerome Felton at NYJ-0, touchdown",3.910,7.000
2,13:44,,,NYJ 2,12,21,Blair Walsh kicks extra point good,0.000,0.000
2,13:44,,,MIN 35,12,21,"Blair Walsh kicks off 67 yards, returned by Percy Harvin for 22 yards (tackle by Audie Cole)",0.000,-0.280
2,13:28,1,10,NYJ 20,12,21,Geno Smith pass incomplete short right intended for Percy Harvin,0.280,-0.270
2,13:20,2,10,NYJ 20,12,21,Chris Ivory up the middle for 2 yards (tackle by Sharrif Floyd),-0.270,-0.690
