Quarter,Time,Tm,Detail,IND,TEN
1.0,11:50,Titans,D'Onta Foreman 5 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,7
,0:36,Colts,Rodrigo Blankenship 24 yard field goal,3,7
2.0,11:12,Titans,Stephen Gostkowski 50 yard field goal,3,10
,7:49,Colts,Nyheim Hines 13 yard pass from Philip Rivers (Rodrigo Blankenship kick),10,10
,2:54,Titans,Jonnu Smith 1 yard rush (Stephen Gostkowski kick),10,17
,0:00,Colts,Rodrigo Blankenship 43 yard field goal,13,17
3.0,2:51,Colts,Nyheim Hines 2 yard rush (Rodrigo Blankenship kick),20,17
,1:52,Colts,T.J. Carrie 6 yard blocked punt return (Rodrigo Blankenship kick),27,17
4.0,9:21,Colts,Jacoby Brissett 2 yard rush (Rodrigo Blankenship kick),34,17
