Unnamed: 0,IND,TEN
First Downs,26,25
Rush-Yds-TDs,29-133-2,32-157-1
Cmp-Att-Yd-TD-INT,29-39-308-1-0,15-27-147-1-0
Sacked-Yards,1-11,1-10
Net Pass Yards,297,137
Total Yards,430,294
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,9-73,3-30
Third Down Conv.,4-12,3-10
Fourth Down Conv.,3-5,0-1
Time of Possession,31:18,28:42
