Unnamed: 0,JAX,IND
First Downs,20,19
Rush-Yds-TDs,22-67-0,24-155-1
Cmp-Att-Yd-TD-INT,24-38-294-2-1,29-39-229-2-0
Sacked-Yards,1-5,1-8
Net Pass Yards,289,221
Total Yards,356,376
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,6-55,6-68
Third Down Conv.,5-13,5-13
Fourth Down Conv.,2-3,0-0
Time of Possession,30:22,29:38
