Quarter,Time,Tm,Detail,CHI,ATL
1.0,9:43,Falcons,Hayden Hurst 1 yard pass from Matt Ryan (Younghoe Koo kick failed),0,6
,2:43,Bears,Cairo Santos 35 yard field goal,3,6
2.0,8:31,Falcons,Younghoe Koo 29 yard field goal,3,9
,4:37,Falcons,Brian Hill 35 yard rush (Younghoe Koo kick),3,16
,1:50,Bears,Jimmy Graham 2 yard pass from Mitchell Trubisky (Cairo Santos kick),10,16
3.0,12:34,Falcons,Todd Gurley 10 yard rush (Younghoe Koo kick),10,23
,9:58,Falcons,Younghoe Koo 36 yard field goal,10,26
4.0,6:20,Bears,Jimmy Graham 3 yard pass from Nick Foles (pass failed),16,26
,4:21,Bears,Allen Robinson 37 yard pass from Nick Foles (Cairo Santos kick),23,26
,1:53,Bears,Anthony Miller 28 yard pass from Nick Foles (Cairo Santos kick),30,26
