Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Montgomery,CHI,14,45,0,4,21,1.5,24,1.7,2,7.0
Cordarrelle Patterson,CHI,4,13,0,1,11,2.8,2,0.5,0,
Nick Foles,CHI,3,-3,0,0,-3,-1.0,0,0.0,0,
Tarik Cohen,CHI,2,21,0,1,13,6.5,8,4.0,0,
Anthony Miller,CHI,1,9,0,1,9,9.0,0,0.0,0,
Mitchell Trubisky,CHI,1,45,0,1,40,40.0,5,5.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Todd Gurley,ATL,14,80,1,4,46,3.3,34,2.4,1,14.0
Brian Hill,ATL,9,58,1,1,49,5.4,9,1.0,0,
Calvin Ridley,ATL,1,7,0,1,7,7.0,0,0.0,0,
Matt Ryan,ATL,1,-1,0,0,-1,-1.0,0,0.0,0,
