Unnamed: 0,IND,KAN
First Downs,23,33
Rush-Yds-TDs,12-33-0,42-203-3
Cmp-Att-Yd-TD-INT,25-44-472-5-1,27-34-389-3-0
Sacked-Yards,0-0,1-2
Net Pass Yards,472,387
Total Yards,505,590
Fumbles-Lost,1-0,4-2
Turnovers,1,2
Penalties-Yards,7-40,5-46
Third Down Conv.,3-10,8-15
Fourth Down Conv.,1-2,1-2
Time of Possession,22:27,37:33
