Quarter,Time,Tm,Detail,IND,KAN
1.0,4:18,Colts,Marvin Harrison 52 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
,1:27,Chiefs,Tony Gonzalez 21 yard pass from Trent Green (Lawrence Tynes kick),7,7
2.0,14:20,Chiefs,Johnnie Morton 7 yard pass from Trent Green (Lawrence Tynes kick),7,14
,9:08,Chiefs,Priest Holmes 21 yard rush (Lawrence Tynes kick),7,21
,6:03,Colts,Marcus Pollard 5 yard pass from Peyton Manning (Mike Vanderjagt kick),14,21
,4:59,Chiefs,Priest Holmes 11 yard rush (Lawrence Tynes kick),14,28
,0:47,Chiefs,Lawrence Tynes 32 yard field goal,14,31
3.0,11:43,Colts,Marvin Harrison 22 yard pass from Peyton Manning (Mike Vanderjagt kick),21,31
,4:16,Colts,Reggie Wayne 41 yard pass from Peyton Manning (Mike Vanderjagt kick),28,31
4.0,12:58,Chiefs,Priest Holmes 1 yard rush (Lawrence Tynes kick),28,38
,5:27,Colts,Reggie Wayne 6 yard pass from Peyton Manning (Mike Vanderjagt kick),35,38
,2:17,Chiefs,Tony Gonzalez 14 yard pass from Trent Green (Lawrence Tynes kick),35,45
