Quarter,Time,Down,ToGo,Location,IND,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 65 yards, returned by Dominic Rhodes for 27 yards (tackle by Gary Stills). Penalty on Gary Stills: Face Mask (15 Yards), 15 yards",0.000,2.060
1,15:00,1,10,IND 47,0,0,Peyton Manning pass incomplete intended for Reggie Wayne,2.060,1.520
1,15:00,2,10,IND 47,0,0,Edgerrin James for 1 yard (tackle by William Bartee),1.520,0.960
1,15:00,3,9,IND 48,0,0,Peyton Manning pass incomplete intended for Reggie Wayne,0.960,-0.190
1,15:00,4,9,IND 48,0,0,"Penalty on Gerome Sapp: False Start, 5 yards (no play)",-0.190,-0.520
1,13:53,4,14,IND 43,0,0,Hunter Smith right end for 2 yards (tackle by Eric Warfield),-0.520,-2.590
1,13:48,1,10,IND 45,0,0,Priest Holmes up the middle for 4 yards (tackle by Rob Morris),2.590,2.580
1,13:13,2,6,IND 41,0,0,Priest Holmes up the middle for 1 yard (tackle by Mike Doss),2.580,2.010
1,12:33,3,5,IND 40,0,0,Trent Green pass complete to Tony Gonzalez for 14 yards (tackle by Bob Sanders),2.010,3.840
1,11:56,1,10,IND 26,0,0,Trent Green pass incomplete intended for Johnnie Morton,3.840,3.300
1,11:52,2,10,IND 26,0,0,Priest Holmes left end for 6 yards (tackle by Rob Morris and Idrees Bashir),3.300,3.400
1,11:09,3,4,IND 20,0,0,Trent Green pass complete to Derrick Blaylock for 3 yards (tackle by Cato June),3.400,2.460
1,10:28,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,2.460
1,10:28,4,1,IND 17,0,0,Priest Holmes up the middle for 3 yards (tackle by Raheem Brock),2.460,4.650
1,9:58,1,10,IND 14,0,0,Priest Holmes up the middle for 2 yards (tackle by Dwight Freeney),4.650,4.330
1,9:26,2,8,IND 12,0,0,Priest Holmes left end for 5 yards (tackle by Idrees Bashir),4.330,4.500
1,8:46,3,3,IND 7,0,0,"Priest Holmes up the middle for 3 yards (tackle by Josh Williams). Priest Holmes fumbles (forced by Josh Williams), recovered by Idrees Bashir at IND-4 (tackle by Brian Waters)",4.500,0.380
1,8:39,1,10,IND 4,0,0,Peyton Manning pass complete to Edgerrin James for no gain,-0.380,-0.780
1,8:02,2,10,IND 4,0,0,Edgerrin James up the middle for no gain (tackle by Greg Wesley and Eric Warfield),-0.780,-1.420
1,7:19,3,10,IND 4,0,0,Peyton Manning pass complete to Reggie Wayne for 11 yards (tackle by Jerome Woods),-1.420,-0.220
1,6:41,1,10,IND 15,0,0,Edgerrin James right tackle for 9 yards (tackle by Jerome Woods),-0.220,0.620
1,6:03,2,1,IND 24,0,0,Edgerrin James left end for 4 yards (tackle by John Browning),0.620,0.810
1,5:25,1,10,IND 28,0,0,"Peyton Manning pass incomplete intended for Reggie Wayne. Penalty on William Bartee: Defensive Pass Interference, 11 yards (no play)",0.810,1.530
1,5:25,1,10,IND 39,0,0,Edgerrin James left end for 5 yards (tackle by Jared Allen),1.530,1.660
1,4:35,2,5,IND 44,0,0,Peyton Manning pass incomplete intended for Marvin Harrison,1.660,0.960
1,4:30,3,5,IND 44,0,0,"Peyton Manning pass incomplete intended for Marvin Harrison (defended by Eric Warfield). Penalty on Eric Warfield: Defensive Pass Interference, 4 yards (no play)",0.960,2.130
1,4:27,1,10,IND 48,6,0,"Peyton Manning pass complete to Marvin Harrison for 52 yards, touchdown",2.130,7.000
1,,,,KAN 2,7,0,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,"Mike Vanderjagt kicks off 57 yards, returned by Dante Hall for 16 yards (tackle by Gary Brackett)",0.000,0.870
1,4:13,1,10,KAN 29,7,0,Trent Green pass complete to Johnnie Morton for 16 yards (tackle by Jason David),0.870,1.930
1,3:34,1,10,KAN 45,7,0,Trent Green pass complete to Eddie Kennison for 12 yards (tackle by Nick Harper),1.930,2.720
1,3:08,1,10,IND 43,7,0,Priest Holmes left end for -1 yards (tackle by Jason David),2.720,2.040
1,2:44,2,11,IND 44,7,0,Priest Holmes left end for no gain (tackle by Bob Sanders),2.040,1.360
1,2:05,3,11,IND 44,7,0,Trent Green pass complete to Johnnie Morton for 23 yards (tackle by Jason David),1.360,4.170
1,1:32,1,10,IND 21,7,6,"Trent Green pass complete to Tony Gonzalez for 21 yards, touchdown",4.170,7.000
1,,,,IND 2,7,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,7,7,"Lawrence Tynes kicks off 72 yards, returned by Dominic Rhodes for 21 yards (tackle by Derrick Blaylock)",0.000,0.150
1,1:22,1,10,IND 19,7,7,Peyton Manning pass incomplete intended for Marvin Harrison,0.150,-0.390
1,1:17,2,10,IND 19,7,7,Edgerrin James up the middle for no gain (tackle by Kawika Mitchell),-0.390,-1.070
1,0:30,3,10,IND 19,7,7,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Eric Warfield),-1.070,-2.140
1,0:25,4,10,IND 19,7,7,"Hunter Smith punts 39 yards, returned by Dante Hall for 46 yards (tackle by David Thornton)",-2.140,-4.780
1,0:10,1,10,IND 12,7,7,Trent Green pass complete to Eddie Kennison for 3 yards (tackle by Jason David),4.780,4.640
Quarter,Time,Down,ToGo,Location,IND,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
