Quarter,Time,Tm,Detail,NYJ,MIA
2.0,11:51,Dolphins,Mike Wallace 5 yard pass from Ryan Tannehill (Caleb Sturgis kick),0,7
,3:20,Jets,Sheldon Richardson 1 yard rush (Nick Folk kick),7,7
,0:03,Jets,Geno Smith 7 yard rush (Nick Folk kick),14,7
4.0,4:18,Jets,Nick Folk 35 yard field goal,17,7
,2:59,Jets,Nick Folk 26 yard field goal,20,7
