Quarter,Time,Tm,Detail,TEN,CIN
1.0,11:01,Bengals,Lorenzo Neal 1 yard pass from Jon Kitna (Neil Rackers kick),0,7
2.0,13:40,Bengals,Corey Dillon 4 yard rush (Neil Rackers kick),0,14
,5:39,Titans,Joe Nedney 33 yard field goal,3,14
,1:04,Titans,Joe Nedney 28 yard field goal,6,14
3.0,13:19,Titans,Derrick Mason 32 yard pass from Steve McNair (Joe Nedney kick),13,14
,8:49,Titans,Kevin Dyson 39 yard pass from Steve McNair (Joe Nedney kick),20,14
,5:10,Bengals,Neil Rackers 44 yard field goal,20,17
4.0,13:32,Bengals,Matt Schobel 8 yard pass from Jon Kitna (Neil Rackers kick),20,24
,10:07,Titans,Derrick Mason 16 yard pass from Steve McNair (Joe Nedney kick),27,24
,8:04,Titans,Joe Nedney 46 yard field goal,30,24
