Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Joe Nedney kicks off 56 yards, returned by Lorenzo Neal for 15 yards (tackle by Aric Morris)",0.000,0.870
1,14:55,1,10,CIN 29,0,0,Corey Dillon right tackle for -4 yards (tackle by Robaire Smith),0.870,-0.210
1,14:25,2,14,CIN 25,0,0,Jon Kitna pass complete to Lorenzo Neal for 6 yards (tackle by Keith Bulluck and Samari Rolle),-0.210,-0.100
1,14:03,3,8,CIN 31,0,0,"Jon Kitna pass complete to Corey Dillon for 5 yards (tackle by Andre Dyson). Penalty on TEN: Defensive 12 On-field, 5 yards (no play)",-0.100,0.560
1,13:48,3,3,CIN 36,0,0,Jon Kitna pass complete to Chad Johnson for 17 yards (tackle by Samari Rolle),0.560,2.460
1,13:11,1,10,TEN 47,0,0,"Corey Dillon left tackle for 1 yard (tackle by Henry Ford). Penalty on Albert Haynesworth: Defensive Offside, 5 yards (no play)",2.460,3.190
1,12:50,1,5,TEN 42,0,0,Jon Kitna pass complete to Chad Johnson for 13 yards (tackle by Keith Bulluck),3.190,3.640
1,12:13,1,10,TEN 29,0,0,Corey Dillon left guard for 24 yards (tackle by Samari Rolle),3.640,6.060
1,11:40,1,10,TEN 29,,,Timeout #1 by Cincinnati Bengals,3.640,6.060
1,11:40,1,5,TEN 5,0,0,Corey Dillon right guard for 4 yards (tackle by John Thornton),6.060,5.910
1,11:06,2,1,TEN 1,0,6,"Jon Kitna pass complete to Lorenzo Neal for 1 yard, touchdown",5.910,7.000
1,11:06,,,TEN 1,0,7,Neil Rackers kicks extra point good,0.000,0.000
1,11:06,,,CIN 30,0,7,"Neil Rackers kicks off 63 yards, returned by Eddie Berlin for 18 yards (tackle by Lamont Thompson)",0.000,0.610
1,10:56,1,10,TEN 25,0,7,Steve McNair pass incomplete intended for Kevin Dyson (defended by Jeff Burris),0.610,0.060
1,10:48,2,10,TEN 25,0,7,Eddie George left guard for 7 yards (tackle by Justin Smith),0.060,0.300
1,10:07,3,3,TEN 32,0,7,Steve McNair pass complete to Kevin Dyson for 5 yards (tackle by Jeff Burris),0.300,1.400
1,9:28,1,10,TEN 37,0,7,Eddie George right guard for 18 yards (tackle by Cory Hall),1.400,2.590
1,8:49,1,10,CIN 45,0,7,Steve McNair pass complete to Kevin Dyson for 11 yards,2.590,3.310
1,8:29,1,10,CIN 34,0,7,Steve McNair pass complete to Derrick Mason for 7 yards (tackle by Artrell Hawkins),3.310,3.720
1,7:47,2,3,CIN 27,0,7,"Eddie George left tackle for 12 yards (tackle by Artrell Hawkins). Eddie George fumbles (forced by Artrell Hawkins), recovered by Bernard Whittington at CIN-15 (tackle by Fred Miller)",3.720,0.220
1,7:39,1,10,CIN 15,0,7,Jon Kitna pass incomplete intended for Corey Dillon,-0.220,-0.710
1,7:36,2,10,CIN 15,0,7,Corey Dillon left tackle for 1 yard (tackle by Keith Bulluck),-0.710,-1.250
1,6:57,3,9,CIN 16,0,7,Corey Dillon left guard for 4 yards (tackle by Frank Chamberlin and Keith Bulluck),-1.250,-2.030
1,6:29,4,5,CIN 20,0,7,"Nick Harris punts 44 yards, returned by Justin McCareins for 7 yards (tackle by Canute Curtis)",-2.030,-1.800
1,6:18,1,10,TEN 43,0,7,Eddie George left guard for no gain (tackle by Tony Williams),1.800,1.250
1,5:39,2,10,TEN 43,0,7,Steve McNair pass incomplete intended for Frank Wycheck,1.250,0.560
1,5:35,3,10,TEN 43,0,7,Steve McNair pass incomplete intended for Frank Wycheck,0.560,-0.520
1,5:26,4,10,TEN 43,0,7,Craig Hentrich punts 46 yards,-0.520,0.370
1,5:13,1,10,CIN 11,0,7,Corey Dillon right tackle for 5 yards (tackle by Frank Chamberlin),-0.370,-0.300
1,4:40,2,5,CIN 16,0,7,Corey Dillon right tackle for 3 yards (tackle by Tank Williams),-0.300,-0.480
1,4:02,3,2,CIN 19,0,7,Jon Kitna pass complete to Chad Johnson for 24 yards (tackle by Andre Dyson),-0.480,1.800
1,3:19,1,10,CIN 43,0,7,"Penalty on Donald Mitchell: Encroachment, 5 yards (no play)",1.800,2.530
1,3:02,1,5,CIN 48,0,7,Brandon Bennett left end for -1 yards (tackle by Tank Williams),2.530,1.790
1,2:21,2,6,CIN 47,0,7,Corey Dillon right end for 11 yards (tackle by Lance Schulters),1.790,2.790
1,1:39,1,10,TEN 42,0,7,"Corey Dillon right end for 4 yards (tackle by Tank Williams and Carlos Hall). Penalty on Albert Haynesworth: Defensive Offside, 5 yards (no play)",2.790,3.520
1,1:18,1,5,TEN 37,0,7,Jon Kitna pass complete to Lorenzo Neal for 13 yards (tackle by John Thornton),3.520,3.970
1,0:41,1,10,TEN 24,0,7,Corey Dillon left guard for 7 yards (tackle by Tank Williams and Keith Bulluck),3.970,4.460
Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,TEN 17,0,7,Lorenzo Neal middle for 4 yards (tackle by Peter Sirmon and Robaire Smith),4.460,4.710
2,14:25,1,10,TEN 13,0,7,Corey Dillon right guard for 9 yards (tackle by Lance Schulters),4.710,5.730
2,13:46,2,1,TEN 4,0,13,"Corey Dillon left guard for 4 yards, touchdown",5.730,7.000
2,13:46,,,TEN 4,0,14,Neil Rackers kicks extra point good,0.000,0.000
2,13:46,,,CIN 30,0,14,"Neil Rackers kicks off 68 yards, returned by Eddie Berlin for 20 yards (tackle by Kevin Kaesviharn)",0.000,0.410
2,13:34,1,10,TEN 22,0,14,Eddie George middle for 5 yards (tackle by Cory Hall),0.410,0.540
2,12:56,2,5,TEN 27,0,14,Steve McNair pass incomplete intended for Justin McCareins,0.540,-0.160
2,12:49,2,5,TEN 27,,,Timeout #1 by Tennessee Titans,0.540,-0.160
2,12:49,3,5,TEN 27,0,14,Steve McNair pass complete to Derrick Mason for 9 yards (tackle by Brian Simmons),-0.160,1.330
2,12:24,1,10,TEN 36,0,14,Eddie George right end for 1 yard (tackle by Canute Curtis and Tony Williams),1.330,0.930
2,11:43,2,9,TEN 37,0,14,Eddie George left tackle for 5 yards (tackle by Oliver Gibson),0.930,0.890
2,11:03,3,4,TEN 42,0,14,Steve McNair pass incomplete intended for Drew Bennett,0.890,-0.590
2,10:59,4,4,TEN 42,0,14,Craig Hentrich punts 55 yards,-0.590,0.380
2,10:47,1,10,CIN 3,0,14,"Penalty on Mike Goff: False Start, 1 yards (no play)",-0.380,-0.420
