Unnamed: 0,TEN,CIN
First Downs,20,22
Rush-Yds-TDs,27-134-0,40-191-1
Cmp-Att-Yd-TD-INT,16-27-215-3-0,17-23-193-2-0
Sacked-Yards,1-7,0-0
Net Pass Yards,208,193
Total Yards,342,384
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,7-40,9-81
Third Down Conv.,4-11,5-11
Fourth Down Conv.,0-0,0-1
Time of Possession,26:05,33:55
