Quarter,Time,Tm,Detail,DEN,HOU
1.0,7:27,Broncos,Noah Fant 14 yard pass from Drew Lock (Brandon McManus kick),7,0
,3:33,Broncos,Kareem Jackson 70 yard fumble return (Brandon McManus kick),14,0
2.0,11:24,Broncos,Jeff Heuerman 8 yard pass from Drew Lock (Brandon McManus kick),21,0
,8:49,Texans,Ka'imi Fairbairn 54 yard field goal,21,3
,3:04,Broncos,Brandon McManus 36 yard field goal,24,3
,0:37,Broncos,Royce Freeman 3 yard pass from Drew Lock (Brandon McManus kick),31,3
3.0,9:15,Broncos,Phillip Lindsay 1 yard rush (Brandon McManus kick),38,3
,7:36,Texans,DeAndre Hopkins 43 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),38,10
4.0,13:34,Texans,Deshaun Watson 6 yard rush (Ka'imi Fairbairn kick),38,17
,0:25,Texans,Deshaun Watson 3 yard rush (Ka'imi Fairbairn kick),38,24
