Unnamed: 0,NYG,PHI
First Downs,24,23
Rush-Yds-TDs,26-86-0,30-107-1
Cmp-Att-Yd-TD-INT,31-43-371-3-1,27-45-350-2-0
Sacked-Yards,8-53,1-6
Net Pass Yards,318,344
Total Yards,404,451
Fumbles-Lost,3-0,1-1
Turnovers,1,1
Penalties-Yards,9-75,10-66
Third Down Conv.,6-15,6-14
Fourth Down Conv.,0-1,0-2
Time of Possession,38:47,33:02
