Quarter,Time,Tm,Detail,NYG,PHI
1,11:35,Giants,Amani Toomer 37 yard pass from Eli Manning (Jay Feely kick),7,0
,7:09,Eagles,Brian Westbrook 12 yard rush (David Akers kick),7,7
2,12:47,Eagles,Donte' Stallworth 20 yard pass from Donovan McNabb (David Akers kick),7,14
,0:05,Eagles,David Akers 37 yard field goal,7,17
3,10:49,Eagles,Reggie Brown 23 yard pass from Donovan McNabb (David Akers kick),7,24
4,13:40,Giants,Tim Carter offensive fumble recovery in end zone (Jay Feely kick),14,24
,3:28,Giants,Amani Toomer 22 yard pass from Eli Manning (Jay Feely kick),21,24
,0:07,Giants,Jay Feely 35 yard field goal,24,24
OT,3:11,Giants,Plaxico Burress 31 yard pass from Eli Manning,30,24
