#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:35,PHI 8,11,4:26,92,Touchdown
2,1,3:41,PHI 6,5,1:25,29,Punt
3,1,0:24,PHI 31,5,2:37,69,Touchdown
4,2,10:33,PHI 49,9,3:54,20,Missed FG
5,2,4:14,PHI 15,10,3:08,51,Downs
6,2,0:38,PHI 46,6,0:33,35,Field Goal
7,3,15:00,PHI 31,7,4:11,69,Touchdown
8,3,7:40,PHI 30,5,3:41,18,Punt
9,4,13:40,PHI 20,3,1:44,-5,Punt
10,4,10:25,NYG 47,4,1:40,9,Downs
11,4,6:08,PHI 17,4,1:57,17,Fumble
12,4,3:28,PHI 22,6,2:30,22,Punt
13,4,0:07,,0,0:07,0,End of Half
14,5,11:04,PHI 44,3,1:09,-8,Punt
