Quarter,Time,Tm,Detail,JAX,PHI
1.0,8:38,Jaguars,Fred Taylor 15 yard rush (Josh Scobee kick),7,0
3.0,6:09,Jaguars,Josh Scobee 40 yard field goal,10,0
,1:10,Eagles,David Akers 25 yard field goal,10,3
4.0,9:28,Jaguars,Josh Scobee 27 yard field goal,13,3
,0:31,Eagles,David Akers 28 yard field goal,13,6
