Unnamed: 0,JAX,PHI
First Downs,16,14
Rush-Yds-TDs,46-209-1,20-85-0
Cmp-Att-Yd-TD-INT,10-17-87-0-0,18-34-161-0-0
Sacked-Yards,1-11,4-19
Net Pass Yards,76,142
Total Yards,285,227
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,5-44,8-50
Third Down Conv.,4-14,4-14
Fourth Down Conv.,2-3,0-1
Time of Possession,36:51,23:09
